Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Health,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Nash General Hospital","HC GRAFIX CORE 5X5 PER SQCM","Q4132","$1,011.00","$115.42","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$115.42","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX PRIME 2X3 PER SQCM","Q4133","$1,011.00","$136.81","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$136.81","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX PRIME 5X5 PER SQCM","Q4133","$1,011.00","$136.81","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$136.81","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX CORE 3X4 PER SQ CM","Q4132","$1,011.00","$115.42","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$115.42","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX PRIME 3X4 PER SQ CM","Q4133","$1,011.00","$136.81","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$136.81","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX CORE 1.5X2 PER SQ CM","Q4132","$1,011.00","$115.42","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$115.42","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX PRIME 1.5X2 PER SQ CM","Q4133","$1,011.00","$136.81","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$136.81","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC GRAFIX PRIME (14MM DISC) PER SQ CM","Q4133","$1,011.00","$136.81","$909.90","$586.38","$0.00","$505.50","$419.67","$606.60","$136.81","$304.31","$310.38","$909.90","$0.00","$0.00","$798.69","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PURAPLY AM 4SQCM 2X2 PER SQ CM","Q4196","$619.00","$109.52","$557.10","$359.02","$0.00","$309.50","$256.95","$371.40","$109.52","$186.32","$190.03","$557.10","$0.00","$0.00","$489.01","$0.00","$180.71","$0.00","$0.00"
"Nash General Hospital","HC PURAPLY AM 8SQCM 2X4 PER SQ CM","Q4196","$392.00","$109.52","$352.80","$227.36","$0.00","$196.00","$162.72","$235.20","$109.52","$117.99","$120.34","$352.80","$0.00","$0.00","$309.68","$0.00","$180.71","$0.00","$0.00"
"Nash General Hospital","HC PURAPLY AM 54SQCM 6X9 PER SQ CM","Q4196","$275.00","$82.78","$247.50","$159.50","$0.00","$137.50","$114.15","$165.00","$109.52","$82.78","$84.43","$247.50","$0.00","$0.00","$217.25","$0.00","$180.71","$0.00","$0.00"
"Nash General Hospital","HC DISCARDED PURAPLY AM 4SQCM 2X2 PER SQ CM","Q4196","$619.00","$109.52","$557.10","$359.02","$0.00","$309.50","$256.95","$371.40","$109.52","$186.32","$190.03","$557.10","$0.00","$0.00","$489.01","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PRIMATRIX 18MM DISC","Q4100","$123.00","$37.02","$110.70","$71.34","$0.00","$61.50","$51.06","$73.80","$62.36","$37.02","$37.76","$110.70","$0.00","$0.00","$97.17","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PRIMATRIX 4SQCM 2X2 PER SQ CM","Q4110","$442.00","$43.33","$397.80","$256.36","$0.00","$221.00","$183.47","$265.20","$43.33","$133.04","$135.69","$397.80","$0.00","$0.00","$349.18","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DERMACELL 16SQCM 4X4 PER SQ CM","Q4122","$84.00","$25.28","$75.60","$48.72","$0.00","$42.00","$34.87","$50.40","$42.59","$25.28","$25.79","$75.60","$0.00","$0.00","$66.36","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DISCARDED ANTIMICROBIAL PURAPLY WND MATRIX 2X4 PER SQCM","Q4146","$238.00","$71.64","$214.20","$138.04","$0.00","$119.00","$98.79","$142.80","$120.67","$71.64","$73.07","$214.20","$0.00","$0.00","$188.02","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AMNIOEXCEL 24MM DISC","Q4137","$2,264.00","$681.46","$2,037.60","$1,313.12","$0.00","$1,132.00","$939.79","$1,358.40","$1,116.15","$681.46","$695.05","$2,037.60","$0.00","$0.00","$1,788.56","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DISCARDED AMNIOEXCEL 24MM DISC","Q4137","$2,264.00","$681.46","$2,037.60","$1,313.12","$0.00","$1,132.00","$939.79","$1,358.40","$1,116.15","$681.46","$695.05","$2,037.60","$0.00","$0.00","$1,788.56","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DISCARDED PRIMATRIX 2CMX2CM PER SQ CM","Q4110","$442.00","$43.33","$397.80","$256.36","$0.00","$221.00","$183.47","$265.20","$43.33","$133.04","$135.69","$397.80","$0.00","$0.00","$349.18","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AMNIOEXCEL 2X3CM PER SQ CM","Q4137","$653.00","$196.55","$587.70","$378.74","$0.00","$326.50","$271.06","$391.80","$331.07","$196.55","$200.47","$587.70","$0.00","$0.00","$515.87","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AMNIOEXCEL 3.5X3.5CM PER SQ CM","Q4137","$553.00","$166.45","$497.70","$320.74","$0.00","$276.50","$229.55","$331.80","$280.37","$166.45","$169.77","$497.70","$0.00","$0.00","$436.87","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AMNIOEXCEL OR BIODEXCEL 18MM DISK","Q4137","$2,264.00","$681.46","$2,037.60","$1,313.12","$0.00","$1,132.00","$939.79","$1,358.40","$1,116.15","$681.46","$695.05","$2,037.60","$0.00","$0.00","$1,788.56","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC AMNIOEXCEL 12MM DISK","Q4137","$1,196.00","$360.00","$1,076.40","$693.68","$0.00","$598.00","$496.46","$717.60","$589.63","$360.00","$367.17","$1,076.40","$0.00","$0.00","$944.84","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC EKG","93005","$283.00","$49.42","$254.70","$164.14","$53.07","$141.50","$116.77","$169.80","$143.48","$85.18","$86.88","$254.70","$52.03","$0.00","$223.57","$49.42","$122.82","$52.29","$53.33"
"Nash General Hospital","HC RT EKG RHYTHM STRIP","93041","$79.00","$23.78","$71.10","$45.82","$54.37","$39.50","$32.60","$47.40","$40.05","$23.78","$24.25","$71.10","$53.30","$55.97","$62.41","$50.64","$34.29","$52.29","$53.33"
"Nash General Hospital","HC INJ, INTRALESIONAL, </= 7 LESION","11900","$473.00","$142.37","$425.70","$274.34","$0.00","$236.50","$184.00","$283.80","$239.81","$142.37","$145.21","$425.70","$0.00","$0.00","$373.67","$153.96","$205.28","$0.00","$0.00"
"Nash General Hospital","HC INCISE & REMOVE FOREIGN BODY, SUBQ TISSUE SIMPLE","10120","$194.00","$58.39","$311.61","$112.52","$280.36","$97.00","$75.47","$116.40","$98.36","$58.39","$59.56","$174.60","$296.77","$311.61","$153.26","$145.50","$84.20","$194.00","$194.00"
"Nash General Hospital","HC GALLIUM GA-68 DOTATATE DX 0.1 MCI","A9587","$1,296.00","$66.11","$1,166.40","$751.68","$0.00","$648.00","$529.42","$777.60","$66.11","$390.10","$397.87","$1,166.40","$0.00","$0.00","$1,023.84","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC SURG PREP OR CREATE RECIPIENT SITE T/A/L 1ST 100 SQCM OR 1% OF BODY AREA INFANT/CHILDREN","15002","$3,956.00","$1,190.76","$3,560.40","$2,294.48","$1,565.42","$1,978.00","$1,538.88","$2,373.60","$2,005.69","$1,190.76","$1,214.49","$3,560.40","$1,534.72","$0.00","$3,125.24","$1,457.99","$1,716.90","$1,542.40","$1,573.09"
"Nash General Hospital","HC EPIDERMAL AUTOGRAFT T/A/L 1ST 100 SQCM OR LESS OR 1% BODY AREA INFANTS/CHILDREN","15110","$3,889.00","$1,170.59","$3,500.10","$2,255.62","$1,537.41","$1,944.50","$1,512.82","$2,333.40","$1,971.72","$1,170.59","$1,193.92","$3,500.10","$1,507.27","$1,582.63","$3,072.31","$1,561.50","$1,687.83","$1,542.40","$1,573.09"
"Nash General Hospital","HC EPIDERMAL AUTOGRAFT FEET F/S/E/M/N/E/O/G/H/F/D 1ST 100 SQCM OR LESS OR 1% BODY AREA INF/CHILD","15115","$3,889.00","$1,170.59","$3,500.10","$2,255.62","$1,676.56","$1,944.50","$1,512.82","$2,333.40","$1,971.72","$1,170.59","$1,193.92","$3,500.10","$1,643.69","$0.00","$3,072.31","$1,561.50","$1,687.83","$1,542.40","$1,573.09"
"Nash General Hospital","HC APPL SKIN GRAFT T/A/L TOTAL AREA UP TO 100 SQ CM, 1ST 25 SQ CM","15271","$3,252.00","$978.85","$2,926.80","$1,886.16","$1,565.42","$1,626.00","$1,265.03","$1,951.20","$1,648.76","$978.85","$998.36","$2,926.80","$1,534.72","$0.00","$2,569.08","$1,457.99","$1,411.37","$1,542.40","$1,573.09"
"Nash General Hospital","HC APPL SKIN GRAFT F/S/E/M/N/E/O/G/H/F/D TOTAL AREA UP TO 100 SQ CM, 1ST 25 SQ CM","15275","$3,252.00","$978.85","$2,926.80","$1,886.16","$1,565.42","$1,626.00","$1,265.03","$1,951.20","$1,648.76","$978.85","$998.36","$2,926.80","$1,534.72","$0.00","$2,569.08","$1,457.99","$1,411.37","$1,542.40","$1,573.09"
"Nash General Hospital","HC APPL SKIN GRAFT F/S/E/M/N/E/O/G/H/F/D TOTAL AREA UP TO 100 SQ CM, EACH ADDL 25 SQ CM","15276","$619.00","$186.32","$557.10","$359.02","$0.00","$309.50","$240.79","$371.40","$313.83","$186.32","$190.03","$557.10","$0.00","$0.00","$489.01","$0.00","$268.65","$0.00","$0.00"
"Nash General Hospital","HC STRAPPING UNNA BOOT","29580","$295.00","$53.00","$295.00","$171.10","$117.35","$147.50","$117.50","$177.00","$53.00","$88.80","$90.57","$265.50","$115.05","$120.81","$233.05","$117.84","$295.00","$127.12","$129.65"
"Nash General Hospital","HC APPLICATION MULTILAYER COMPRESSION SYSTEM BELOW KNEED INCLUDING ANKLE & FOOT","29581","$319.00","$53.00","$319.00","$185.02","$129.02","$159.50","$127.06","$191.40","$53.00","$96.02","$97.93","$287.10","$126.49","$0.00","$252.01","$120.16","$319.00","$127.12","$129.65"
"Nash General Hospital","HC INSERT IMPL DEFIB PULSE GENERATOR ONLY W/ EXISTING  MULTIPLE LEADS","33231","$4,337.00","$1,305.44","$4,337.00","$2,515.46","$0.00","$2,168.50","$1,802.02","$2,602.20","$4,337.00","$1,305.44","$1,331.46","$3,903.30","$0.00","$0.00","$3,426.23","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DELIVERY OF PLACENTA SEP PROCEDURE","59414","$2,085.00","$627.59","$1,876.50","$1,209.30","$0.00","$1,042.50","$824.20","$1,251.00","$1,057.10","$627.59","$640.10","$1,876.50","$0.00","$0.00","$1,647.15","$0.00","$904.89","$0.00","$0.00"
"Nash General Hospital","HC APPL SK SUB T/A/L 1ST 25 SQCM LC","C5271","$920.00","$276.92","$828.00","$533.60","$494.61","$460.00","$357.88","$552.00","$466.44","$276.92","$282.44","$828.00","$484.91","$509.16","$726.80","$446.56","$399.28","$472.41","$481.81"
"Nash General Hospital","HC APPL SK SUB T/A/L EA ADDL 25 SQCM LC","C5272","$331.00","$99.63","$297.90","$191.98","$0.00","$165.50","$128.76","$198.60","$167.82","$99.63","$101.62","$297.90","$0.00","$0.00","$261.49","$0.00","$143.65","$0.00","$0.00"
"Nash General Hospital","HC APPL SK SUB F/S/G/H/F 1ST 25 SQCM LC","C5275","$920.00","$276.92","$828.00","$533.60","$436.13","$460.00","$357.88","$552.00","$466.44","$276.92","$282.44","$828.00","$427.57","$448.95","$726.80","$446.56","$399.28","$472.41","$481.81"
"Nash General Hospital","HC UNSCHEDULED OR EMERGENCY DIALYSIS TREATMENT ESRD PT","G0257","$718.00","$216.12","$646.20","$416.44","$617.42","$359.00","$285.41","$430.80","$364.03","$216.12","$220.43","$646.20","$605.31","$0.00","$567.22","$538.50","$311.61","$608.34","$620.45"
"Nash General Hospital","HC INJ SACROILIAC JT INCLD GUIDE","G0260","$1,228.00","$369.63","$1,105.20","$712.24","$0.00","$614.00","$477.69","$736.80","$622.60","$369.63","$377.00","$1,105.20","$0.00","$0.00","$970.12","$583.64","$532.95","$0.00","$0.00"
"Nash General Hospital","HC DIALYSIS CIRCUIT INCLUDES INTRO NEEDLES/CATH, IMAGING RAD S&I","36901","$1,565.00","$471.07","$1,573.51","$907.70","$1,573.51","$782.50","$623.34","$939.00","$793.46","$471.07","$480.46","$1,408.50","$1,542.66","$0.00","$1,236.35","$1,173.75","$1,565.00","$1,550.37","$1,565.00"
"Nash General Hospital","HC DIALYSIS CIRCUIT WITH TRANS ANGIO PERIPHERAL SEGMENT","36902","$7,453.00","$2,243.35","$7,453.00","$4,322.74","$4,778.91","$3,726.50","$2,968.53","$4,471.80","$3,778.67","$2,243.35","$2,288.07","$6,707.70","$4,685.21","$0.00","$5,887.87","$4,450.95","$7,453.00","$4,708.64","$4,802.34"
"Nash General Hospital","HC DIALYSIS CIRCUIT WITH PLACEMENT OF STENT(S) PERIPHERAL SEGMENT","36903","$38,234.00","$11,508.43","$34,410.60","$22,175.72","$0.00","$19,117.00","$15,228.60","$22,940.40","$19,384.64","$11,508.43","$11,737.84","$34,410.60","$0.00","$0.00","$30,204.86","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC MECHANICAL THROMBECTOMY/INFUSION DIALYSIS CIRCUIT INCLUDES DIAG ANGIO","36904","$7,900.00","$2,377.90","$7,900.00","$4,582.00","$4,929.90","$3,950.00","$3,146.57","$4,740.00","$4,005.30","$2,377.90","$2,425.30","$7,110.00","$4,833.23","$5,074.89","$6,241.00","$4,591.57","$7,900.00","$4,708.64","$4,802.34"
"Nash General Hospital","HC MECHANICAL THROMBECTOMY/INFUSION DIALYSIS CIRCUIT PERIPHERAL SEGMENT WITH PTA","36905","$25,117.00","$7,560.22","$22,605.30","$14,567.86","$9,933.83","$12,558.50","$10,004.10","$15,070.20","$12,734.32","$7,560.22","$7,710.92","$22,605.30","$9,739.04","$10,226.00","$19,842.43","$8,902.49","$19,669.00","$9,417.90","$9,605.32"
"Nash General Hospital","HC UNLISTED NERVOUS SYSTEM","64999","$331.00","$99.63","$297.90","$191.98","$262.44","$165.50","$128.76","$198.60","$167.82","$99.63","$101.62","$297.90","$257.29","$255.30","$261.49","$230.99","$143.65","$248.81","$253.76"
"Nash General Hospital","HC ERCP W/ LASER STONE REMOVAL","","$4,573.00","$1,376.47","$4,115.70","$2,652.34","$0.00","$2,286.50","$1,807.71","$2,743.80","$2,318.51","$1,376.47","$1,403.91","$4,115.70","$0.00","$0.00","$3,612.67","$0.00","$1,984.68","$0.00","$0.00"
"Nash General Hospital","HC DEBRIDE OPEN FX/DISCLOC INCL REM FOREIGN MATERIAL","11010","$1,038.00","$312.44","$934.20","$602.04","$0.00","$519.00","$403.78","$622.80","$526.27","$312.44","$318.67","$934.20","$0.00","$0.00","$820.02","$0.00","$450.49","$0.00","$0.00"
"Nash General Hospital","HC SURG PREP /CREATE RECIP SITE BY EXC F/S/E/M/N/E/O/G/H/F/D 1ST 100SQCM OR 1% OF BODY AREA INFANT/CHILDREN","15004","$1,899.00","$446.56","$1,709.10","$1,101.42","$479.46","$949.50","$738.71","$1,139.40","$962.79","$571.60","$582.99","$1,709.10","$470.06","$0.00","$1,500.21","$446.56","$824.17","$472.41","$481.81"
"Nash General Hospital","HC EXC BIOPSY BONE SUPERFICIAL","20240","$4,833.00","$1,454.73","$4,349.70","$2,803.14","$2,395.80","$2,416.50","$1,880.04","$2,899.80","$2,450.33","$1,454.73","$1,483.73","$4,349.70","$2,348.82","$0.00","$3,818.07","$2,231.38","$2,097.52","$2,204.08","$2,247.94"
"Nash General Hospital","HC TANGENTIAL BX OF SKIN,  SINGLE LESION","11102","$293.00","$88.19","$293.00","$169.94","$153.32","$146.50","$116.70","$175.80","$148.55","$88.19","$89.95","$263.70","$150.32","$157.83","$231.47","$168.14","$293.00","$166.08","$169.38"
"Nash General Hospital","HC TANGENTIAL BX OF SKIN EA SEPARATE/ADDL LESION","11103","$234.00","$70.43","$210.60","$135.72","$0.00","$117.00","$91.03","$140.40","$118.64","$70.43","$71.84","$210.60","$0.00","$0.00","$184.86","$0.00","$101.56","$0.00","$0.00"
"Nash General Hospital","HC PUNCH BX OF SKIN,  SINGLE LESION","11104","$293.00","$88.19","$293.00","$169.94","$153.32","$146.50","$116.70","$175.80","$148.55","$88.19","$89.95","$263.70","$150.32","$170.41","$231.47","$154.18","$293.00","$166.08","$169.38"
"Nash General Hospital","HC PUNCH BX OF SKIN,  EA SEPARATE/ADDL LESION","11105","$234.00","$70.43","$210.60","$135.72","$0.00","$117.00","$91.03","$140.40","$118.64","$70.43","$71.84","$210.60","$0.00","$0.00","$184.86","$0.00","$101.56","$0.00","$0.00"
"Nash General Hospital","HC INCISIONAL BX OF SKIN W/ SIMPLE CLOSURE, SINGLE LESION","11106","$293.00","$88.19","$293.00","$169.94","$280.36","$146.50","$116.70","$175.80","$148.55","$88.19","$89.95","$263.70","$274.87","$288.61","$231.47","$219.75","$293.00","$293.00","$293.00"
"Nash General Hospital","HC INCISIONAL BX OF SKIN W/ SIMPLE CLOSURE, EA SEPARATE/ADDL LESION","11107","$234.00","$70.43","$210.60","$135.72","$0.00","$117.00","$91.03","$140.40","$118.64","$70.43","$71.84","$210.60","$0.00","$0.00","$184.86","$0.00","$101.56","$0.00","$0.00"
"Nash General Hospital","HC FULL THICK GRFT FREE W/DIRECT CLSR F/C/C/M/N/AX/G/H/F 20 CM/<","15240","$3,245.00","$976.75","$2,920.50","$1,882.10","$1,565.42","$1,622.50","$1,262.31","$1,947.00","$1,645.22","$976.75","$996.22","$2,920.50","$1,534.72","$0.00","$2,563.55","$0.00","$1,408.33","$1,542.40","$1,573.09"
"Nash General Hospital","HC INTERROGATION ONLY ICD","93289","$96.00","$28.90","$86.40","$55.68","$36.34","$48.00","$40.05","$57.60","$48.67","$28.90","$29.47","$86.40","$35.63","$37.41","$75.84","$32.57","$41.66","$34.46","$35.14"
"Nash General Hospital","HC NEG PRESS WOUND TX USING DME 50 CM OR LESS","97605","$488.00","$146.89","$439.20","$283.04","$168.56","$244.00","$194.37","$292.80","$247.42","$146.89","$149.82","$439.20","$165.25","$0.00","$385.52","$156.99","$211.79","$166.08","$169.38"
"Nash General Hospital","HC NEG PRESS WOUND TX, > 50 CM","97606","$527.00","$158.63","$474.30","$305.66","$330.11","$263.50","$205.00","$316.20","$267.19","$158.63","$161.79","$474.30","$323.63","$0.00","$416.33","$281.53","$228.72","$303.69","$309.73"
"Nash General Hospital","HC MNT ASSESSMNT INITL INDV 15MIN","97802","$72.00","$21.67","$64.80","$41.76","$33.88","$36.00","$28.62","$43.20","$36.50","$21.67","$22.10","$64.80","$0.00","$0.00","$56.88","$31.56","$31.25","$33.39","$33.88"
"Nash General Hospital","HC MNT REASSESSMNT INDV 15MIN","97803","$62.00","$18.66","$55.80","$35.96","$28.58","$31.00","$24.65","$37.20","$31.43","$18.66","$19.03","$55.80","$0.00","$0.00","$48.98","$26.62","$26.91","$28.16","$28.58"
"Nash General Hospital","HC MNT GROUP EACH 30MIN","97804","$47.00","$14.15","$42.30","$27.26","$15.88","$23.50","$18.68","$28.20","$23.83","$14.15","$14.43","$42.30","$0.00","$0.00","$37.13","$14.79","$20.40","$15.65","$15.88"
"Nash General Hospital","HC GLUCOSE BLD BY MONITOR DEVICE POC","82962","$65.00","$2.07","$58.50","$37.70","$3.35","$32.50","$24.95","$39.00","$2.07","$19.57","$19.96","$58.50","$3.28","$0.00","$51.35","$3.12","$2.99","$3.30","$3.35"
"Nash General Hospital","HC ANESTHESIA INJ EPID BLOOD PATH","62273","$2,111.00","$579.33","$2,111.00","$1,224.38","$626.65","$1,055.50","$840.81","$1,266.60","$2,111.00","$635.41","$648.08","$1,899.90","$614.36","$645.08","$1,667.69","$579.33","$2,098.00","$594.10","$605.93"
"Nash General Hospital","HC ANESTHESIA INS PICC WO SQ PORT PUMP>5YRS W/O GUIDANCE","36569","$1,950.00","$586.95","$1,755.00","$1,131.00","$1,635.30","$975.00","$758.55","$1,170.00","$988.65","$586.95","$598.65","$1,755.00","$1,652.19","$1,683.40","$1,540.50","$1,462.50","$846.30","$1,550.37","$1,581.22"
"Nash General Hospital","HC ANESTHESIA CARDIOVERSION EXTERNAL","92960","$989.00","$297.69","$890.10","$573.62","$517.51","$494.50","$393.13","$593.40","$501.42","$297.69","$303.62","$890.10","$507.36","$0.00","$781.31","$481.99","$429.23","$509.90","$520.05"
"Nash General Hospital","HC OR TIME 661-720 MIN","","$65,783.00","$19,800.68","$59,204.70","$38,154.14","$0.00","$32,891.50","$26,201.37","$39,469.80","$33,351.98","$19,800.68","$20,195.38","$59,204.70","$0.00","$0.00","$51,968.57","$0.00","$28,549.82","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 0-30 MIN","","$5,145.00","$1,548.65","$4,630.50","$2,984.10","$0.00","$2,572.50","$2,049.25","$3,087.00","$2,608.52","$1,548.65","$1,579.52","$4,630.50","$0.00","$0.00","$4,064.55","$0.00","$2,232.93","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 31-60 MIN","","$8,033.00","$2,417.93","$7,229.70","$4,659.14","$0.00","$4,016.50","$3,199.54","$4,819.80","$4,072.73","$2,417.93","$2,466.13","$7,229.70","$0.00","$0.00","$6,346.07","$0.00","$3,486.32","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 61-90 MIN","","$10,920.00","$3,286.92","$9,828.00","$6,333.60","$0.00","$5,460.00","$4,349.44","$6,552.00","$5,536.44","$3,286.92","$3,352.44","$9,828.00","$0.00","$0.00","$8,626.80","$0.00","$4,739.28","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 91-120 MIN","","$13,808.00","$4,156.21","$12,427.20","$8,008.64","$0.00","$6,904.00","$5,499.73","$8,284.80","$7,000.66","$4,156.21","$4,239.06","$12,427.20","$0.00","$0.00","$10,908.32","$0.00","$5,992.67","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 121-150 MIN","","$16,695.00","$5,025.20","$15,025.50","$9,683.10","$0.00","$8,347.50","$6,649.62","$10,017.00","$8,464.37","$5,025.20","$5,125.37","$15,025.50","$0.00","$0.00","$13,189.05","$0.00","$7,245.63","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 151-180 MIN","","$19,583.00","$5,894.48","$17,624.70","$11,358.14","$0.00","$9,791.50","$7,799.91","$11,749.80","$9,928.58","$5,894.48","$6,011.98","$17,624.70","$0.00","$0.00","$15,470.57","$0.00","$8,499.02","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 181-210 MIN","","$22,470.00","$6,763.47","$20,223.00","$13,032.60","$0.00","$11,235.00","$8,949.80","$13,482.00","$11,392.29","$6,763.47","$6,898.29","$20,223.00","$0.00","$0.00","$17,751.30","$0.00","$9,751.98","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 211-240 MIN","","$25,358.00","$7,632.76","$22,822.20","$14,707.64","$0.00","$12,679.00","$10,100.09","$15,214.80","$12,856.51","$7,632.76","$7,784.91","$22,822.20","$0.00","$0.00","$20,032.82","$0.00","$11,005.37","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 241-270 MIN","","$28,245.00","$8,501.75","$25,420.50","$16,382.10","$0.00","$14,122.50","$11,249.98","$16,947.00","$14,320.22","$8,501.75","$8,671.22","$25,420.50","$0.00","$0.00","$22,313.55","$0.00","$12,258.33","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 271-300 MIN","","$31,133.00","$9,371.03","$28,019.70","$18,057.14","$0.00","$15,566.50","$12,400.27","$18,679.80","$15,784.43","$9,371.03","$9,557.83","$28,019.70","$0.00","$0.00","$24,595.07","$0.00","$13,511.72","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 301-330 MIN","","$34,020.00","$10,240.02","$30,618.00","$19,731.60","$0.00","$17,010.00","$13,550.17","$20,412.00","$17,248.14","$10,240.02","$10,444.14","$30,618.00","$0.00","$0.00","$26,875.80","$0.00","$14,764.68","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 331-360 MIN","","$36,908.00","$11,109.31","$33,217.20","$21,406.64","$0.00","$18,454.00","$14,700.46","$22,144.80","$18,712.36","$11,109.31","$11,330.76","$33,217.20","$0.00","$0.00","$29,157.32","$0.00","$16,018.07","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 361-390 MIN","","$39,795.00","$11,978.30","$35,815.50","$23,081.10","$0.00","$19,897.50","$15,850.35","$23,877.00","$20,176.07","$11,978.30","$12,217.07","$35,815.50","$0.00","$0.00","$31,438.05","$0.00","$17,271.03","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 391-420 MIN","","$42,683.00","$12,847.58","$38,414.70","$24,756.14","$0.00","$21,341.50","$17,000.64","$25,609.80","$21,640.28","$12,847.58","$13,103.68","$38,414.70","$0.00","$0.00","$33,719.57","$0.00","$18,524.42","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 421-450 MIN","","$45,570.00","$13,716.57","$41,013.00","$26,430.60","$0.00","$22,785.00","$18,150.53","$27,342.00","$23,103.99","$13,716.57","$13,989.99","$41,013.00","$0.00","$0.00","$36,000.30","$0.00","$19,777.38","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 451-480 MIN","","$48,458.00","$14,585.86","$43,612.20","$28,105.64","$0.00","$24,229.00","$19,300.82","$29,074.80","$24,568.21","$14,585.86","$14,876.61","$43,612.20","$0.00","$0.00","$38,281.82","$0.00","$21,030.77","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 481-510 MIN","","$51,345.00","$15,454.85","$46,210.50","$29,780.10","$0.00","$25,672.50","$20,450.71","$30,807.00","$26,031.92","$15,454.85","$15,762.92","$46,210.50","$0.00","$0.00","$40,562.55","$0.00","$22,283.73","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 511-540 MIN","","$54,233.00","$16,324.13","$48,809.70","$31,455.14","$0.00","$27,116.50","$21,601.00","$32,539.80","$27,496.13","$16,324.13","$16,649.53","$48,809.70","$0.00","$0.00","$42,844.07","$0.00","$23,537.12","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 541-570 MIN","","$57,120.00","$17,193.12","$51,408.00","$33,129.60","$0.00","$28,560.00","$22,750.90","$34,272.00","$28,959.84","$17,193.12","$17,535.84","$51,408.00","$0.00","$0.00","$45,124.80","$0.00","$24,790.08","$0.00","$0.00"
"Nash General Hospital","HC OR TIME 571-600 MIN","","$60,008.00","$18,062.41","$54,007.20","$34,804.64","$0.00","$30,004.00","$23,901.19","$36,004.80","$30,424.06","$18,062.41","$18,422.46","$54,007.20","$0.00","$0.00","$47,406.32","$0.00","$26,043.47","$0.00","$0.00"
