Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Anthem HMO,Anthem PPO,BCBS PPO/HMO/Blue Select/Blue Value/POS,Care N Care,Cash Discount,CIGNA,First Health,Humana,Humana Medicare Advantage,MedCost,UHC,UHC Medicare Advantage,Care N Care Note,UHC Note,Aetna Medicare Advantage Note,Anthem HMO Note,Anthem PPO Note,BCBS PPO/HMO/Blue Select/Blue Value/POS Note,Humana Medicare Advantage Note,UHC Medicare Advantage Note
"Rockingham Hospital"," BIL CATH EXCHANGE (SURG)","","$2,963.00","$1,627.58","$2,219.29","$2,219.29","$0.00","$1,627.58","$1,685.95","$2,026.99","$0.00","$1,777.80","$1,780.76","$2,219.29","$2,074.10","$0.00","$2,017.80","","$0.00","","","","","","","",""
"Rockingham Hospital"," CENTRAL LINE PLACEMENT","","$6,201.00","$3,406.21","$4,644.55","$4,644.55","$0.00","$3,406.21","$3,528.37","$4,242.10","$0.00","$3,720.60","$3,726.80","$4,644.55","$4,340.70","$0.00","$4,222.88","","$0.00","","","","","","","",""
"Rockingham Hospital"," BLOOD PATCH","","$901.00","$494.92","$674.85","$674.85","$0.00","$494.92","$512.67","$616.37","$0.00","$540.60","$541.50","$674.85","$630.70","$0.00","$613.58","","$0.00","","","","","","","",""
"Rockingham Hospital"," INSERT CHEST TUBE","","$1,179.00","$647.62","$883.07","$883.07","$0.00","$647.62","$670.85","$806.55","$0.00","$707.40","$708.58","$883.07","$825.30","$0.00","$802.90","","$0.00","","","","","","","",""
"Rockingham Hospital"," BC MINOR PROCEDURE","","$262.00","$143.92","$196.24","$196.24","$0.00","$143.92","$149.08","$179.23","$0.00","$157.20","$157.46","$196.24","$183.40","$0.00","$178.42","","$0.00","","","","","","","",""
"Rockingham Hospital"," US SURG COMP PARACENTESIS","","$1,173.00","$644.33","$878.58","$878.58","$0.00","$644.33","$667.44","$802.45","$0.00","$703.80","$704.97","$878.58","$821.10","$0.00","$798.81","","$0.00","","","","","","","",""
"Rockingham Hospital"," US THORACENTESIS SURG COMP","","$1,860.00","$1,021.70","$1,393.14","$1,393.14","$0.00","$1,021.70","$1,058.34","$1,272.43","$0.00","$1,116.00","$1,117.86","$1,393.14","$1,302.00","$0.00","$1,266.66","","$0.00","","","","","","","",""
"Rockingham Hospital"," CT BIOPSY LIVER SURG COMP","","$2,042.00","$1,121.67","$1,529.46","$1,529.46","$0.00","$1,121.67","$1,161.90","$1,396.93","$0.00","$1,225.20","$1,227.24","$1,529.46","$1,429.40","$0.00","$1,390.60","","$0.00","","","","","","","",""
"Rockingham Hospital"," CT SURG COMP BONE BIOPSY","","$1,884.00","$1,034.88","$1,411.12","$1,411.12","$0.00","$1,034.88","$1,072.00","$1,288.84","$0.00","$1,130.40","$1,132.28","$1,411.12","$1,318.80","$0.00","$1,283.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," US THYROID CYST SURG COMP","","$973.00","$534.47","$728.78","$728.78","$0.00","$534.47","$553.64","$665.63","$0.00","$583.80","$584.77","$728.78","$681.10","$0.00","$662.61","","$0.00","","","","","","","",""
"Rockingham Hospital"," US THYROID BIOPSY SURG COMP","","$982.00","$539.41","$735.52","$735.52","$0.00","$539.41","$558.76","$671.79","$0.00","$589.20","$590.18","$735.52","$687.40","$0.00","$668.74","","$0.00","","","","","","","",""
"Rockingham Hospital"," US PARACENTESIS SURG COMP","","$1,616.00","$887.67","$1,210.38","$1,210.38","$0.00","$887.67","$919.50","$1,105.51","$0.00","$969.60","$971.22","$1,210.38","$1,131.20","$0.00","$1,100.50","","$0.00","","","","","","","",""
"Rockingham Hospital"," US RENAL BIOPSY SURG COMP","","$2,099.00","$1,152.98","$1,572.15","$1,572.15","$0.00","$1,152.98","$1,194.33","$1,435.93","$0.00","$1,259.40","$1,261.50","$1,572.15","$1,469.30","$0.00","$1,429.42","","$0.00","","","","","","","",""
"Rockingham Hospital"," US NEPHROSTOMY TUBE PLACEMENT","","$2,590.00","$1,422.69","$1,939.91","$1,939.91","$0.00","$1,422.69","$1,473.71","$1,771.82","$0.00","$1,554.00","$1,556.59","$1,939.91","$1,813.00","$0.00","$1,763.79","","$0.00","","","","","","","",""
"Rockingham Hospital"," CT PERCUTANEOUS DRAINAGE","","$2,235.00","$1,227.69","$1,674.02","$1,674.02","$0.00","$1,227.69","$1,271.71","$1,528.96","$0.00","$1,341.00","$1,343.23","$1,674.02","$1,564.50","$0.00","$1,522.04","","$0.00","","","","","","","",""
"Rockingham Hospital"," US NEPHROSTOMY TUBE CHANGE","","$2,590.00","$1,422.69","$1,939.91","$1,939.91","$0.00","$1,422.69","$1,473.71","$1,771.82","$0.00","$1,554.00","$1,556.59","$1,939.91","$1,813.00","$0.00","$1,763.79","","$0.00","","","","","","","",""
"Rockingham Hospital"," US RENAL ASPIRATION SURG COMP","","$2,099.00","$1,152.98","$1,572.15","$1,572.15","$0.00","$1,152.98","$1,194.33","$1,435.93","$0.00","$1,259.40","$1,261.50","$1,572.15","$1,469.30","$0.00","$1,429.42","","$0.00","","","","","","","",""
"Rockingham Hospital"," CT RENAL BIOPSY SURG COMP","","$1,964.00","$1,078.83","$1,471.04","$1,471.04","$0.00","$1,078.83","$1,117.52","$1,343.57","$0.00","$1,178.40","$1,180.36","$1,471.04","$1,374.80","$0.00","$1,337.48","","$0.00","","","","","","","",""
"Rockingham Hospital"," US LIVER BIOPSY SURG COMP","","$2,039.00","$1,120.02","$1,527.21","$1,527.21","$0.00","$1,120.02","$1,160.19","$1,394.88","$0.00","$1,223.40","$1,225.44","$1,527.21","$1,427.30","$0.00","$1,388.56","","$0.00","","","","","","","",""
"Rockingham Hospital"," US SALINE INJ FOR HYSTERO","","$177.00","$97.23","$132.57","$132.57","$0.00","$97.23","$100.71","$121.09","$0.00","$106.20","$106.38","$132.57","$123.90","$0.00","$120.54","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG LUMBAR PUNCTURE SURG COMP","","$951.00","$522.38","$712.30","$712.30","$0.00","$522.38","$541.12","$650.58","$0.00","$570.60","$571.55","$712.30","$665.70","$0.00","$647.63","","$0.00","","","","","","","",""
"Rockingham Hospital"," SPINAL TAP","","$416.00","$228.51","$311.58","$311.58","$0.00","$228.51","$236.70","$284.59","$0.00","$249.60","$250.02","$311.58","$291.20","$0.00","$283.30","","$0.00","","","","","","","",""
"Rockingham Hospital"," BURN DRESSING SMALL","","$353.00","$193.90","$264.40","$264.40","$0.00","$193.90","$200.86","$241.49","$0.00","$211.80","$212.15","$264.40","$247.10","$0.00","$240.39","","$0.00","","","","","","","",""
"Rockingham Hospital"," CT LUNG BIOPSY SURG COMP","","$2,045.00","$1,123.32","$1,531.70","$1,531.70","$0.00","$1,123.32","$1,163.60","$1,398.98","$0.00","$1,227.00","$1,229.04","$1,531.70","$1,431.50","$0.00","$1,392.65","","$0.00","","","","","","","",""
"Rockingham Hospital"," CT MISC BIOPSY SURG COMP","","$1,800.00","$988.74","$1,348.20","$1,348.20","$0.00","$988.74","$1,024.20","$1,231.38","$0.00","$1,080.00","$1,081.80","$1,348.20","$1,260.00","$0.00","$1,225.80","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG INJ FOR SHOULDER","","$615.00","$337.82","$460.63","$460.63","$0.00","$337.82","$349.93","$420.72","$0.00","$369.00","$369.62","$460.63","$430.50","$0.00","$418.82","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG INJ FOR JOINT","","$591.00","$324.64","$442.66","$442.66","$0.00","$324.64","$336.28","$404.30","$0.00","$354.60","$355.19","$442.66","$413.70","$0.00","$402.47","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG INJ FOR KNEE","","$591.00","$324.64","$442.66","$442.66","$0.00","$324.64","$336.28","$404.30","$0.00","$354.60","$355.19","$442.66","$413.70","$0.00","$402.47","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG INJ FOR HIP","","$591.00","$324.64","$442.66","$442.66","$0.00","$324.64","$336.28","$404.30","$0.00","$354.60","$355.19","$442.66","$413.70","$0.00","$402.47","","$0.00","","","","","","","",""
"Rockingham Hospital"," 2F PARACENTESIS","","$665.00","$365.28","$498.08","$498.08","$0.00","$365.28","$378.38","$454.93","$0.00","$399.00","$399.66","$498.08","$465.50","$0.00","$452.87","","$0.00","","","","","","","",""
"Rockingham Hospital"," 3F PARACENTESIS","","$665.00","$365.28","$498.08","$498.08","$0.00","$365.28","$378.38","$454.93","$0.00","$399.00","$399.66","$498.08","$465.50","$0.00","$452.87","","$0.00","","","","","","","",""
"Rockingham Hospital"," 2F LUMBAR PUNCTURE","","$609.00","$334.52","$456.14","$456.14","$0.00","$334.52","$346.52","$416.62","$0.00","$365.40","$366.01","$456.14","$426.30","$0.00","$414.73","","$0.00","","","","","","","",""
"Rockingham Hospital"," 3F LUMBAR PUNCTURE","","$609.00","$334.52","$456.14","$456.14","$0.00","$334.52","$346.52","$416.62","$0.00","$365.40","$366.01","$456.14","$426.30","$0.00","$414.73","","$0.00","","","","","","","",""
"Rockingham Hospital"," 2F INCISION & DRAINAGE","","$362.00","$198.85","$271.14","$271.14","$0.00","$198.85","$205.98","$247.64","$0.00","$217.20","$217.56","$271.14","$253.40","$0.00","$246.52","","$0.00","","","","","","","",""
"Rockingham Hospital"," 3F INCISION & DRAINAGE","","$362.00","$198.85","$271.14","$271.14","$0.00","$198.85","$205.98","$247.64","$0.00","$217.20","$217.56","$271.14","$253.40","$0.00","$246.52","","$0.00","","","","","","","",""
"Rockingham Hospital"," APPLICATION SKIN SUBSTITUTE","","$816.00","$448.23","$611.18","$611.18","$0.00","$448.23","$464.30","$558.23","$0.00","$489.60","$490.42","$611.18","$571.20","$0.00","$555.70","","$0.00","","","","","","","",""
"Rockingham Hospital"," SKIN SUBSTITUTE APPLICATION","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," DH LEVEL I PROCEDURE","","$803.00","$441.09","$601.45","$601.45","$0.00","$441.09","$456.91","$549.33","$0.00","$481.80","$482.60","$601.45","$562.10","$0.00","$546.84","","$0.00","","","","","","","",""
"Rockingham Hospital"," DH LEVEL II PROCEDURE","","$1,481.00","$813.51","$1,109.27","$1,109.27","$0.00","$813.51","$842.69","$1,013.15","$0.00","$888.60","$890.08","$1,109.27","$1,036.70","$0.00","$1,008.56","","$0.00","","","","","","","",""
"Rockingham Hospital"," DH LEVEL III PROCEDURE","","$2,849.00","$1,564.96","$2,133.90","$2,133.90","$0.00","$1,564.96","$1,621.08","$1,949.00","$0.00","$1,709.40","$1,712.25","$2,133.90","$1,994.30","$0.00","$1,940.17","","$0.00","","","","","","","",""
"Rockingham Hospital"," DH LEVEL IV PROCEDURE","","$4,066.00","$2,233.45","$3,045.43","$3,045.43","$0.00","$2,233.45","$2,313.55","$2,781.55","$0.00","$2,439.60","$2,443.67","$3,045.43","$2,846.20","$0.00","$2,768.95","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG ARTHROCENTESIS MAJOR JOINT","","$609.00","$334.52","$456.14","$456.14","$0.00","$334.52","$346.52","$416.62","$0.00","$365.40","$366.01","$456.14","$426.30","$0.00","$414.73","","$0.00","","","","","","","",""
"Rockingham Hospital"," CIRCUMCISION NEONATE","","$1,928.00","$1,059.05","$1,444.07","$1,444.07","$0.00","$1,059.05","$1,097.03","$1,318.94","$0.00","$1,156.80","$1,158.73","$1,444.07","$1,349.60","$0.00","$1,312.97","","$0.00","","","","","","","",""
"Rockingham Hospital"," FINE NEEDLE ASPIRATION W GUIDE","","$1,004.00","$551.50","$752.00","$752.00","$0.00","$551.50","$571.28","$686.84","$0.00","$602.40","$603.40","$752.00","$702.80","$0.00","$683.72","","$0.00","","","","","","","",""
"Rockingham Hospital"," SURG COMP BREAST BX VAC ASSIST","","$3,431.00","$1,884.65","$2,569.82","$2,569.82","$0.00","$1,884.65","$1,952.24","$2,347.15","$0.00","$2,058.60","$2,062.03","$2,569.82","$2,401.70","$0.00","$2,336.51","","$0.00","","","","","","","",""
"Rockingham Hospital"," PICC LINE","","$2,415.00","$1,326.56","$1,808.84","$1,808.84","$0.00","$1,326.56","$1,374.13","$1,652.10","$0.00","$1,449.00","$1,451.41","$1,808.84","$1,690.50","$0.00","$1,644.62","","$0.00","","","","","","","",""
"Rockingham Hospital"," *PICC LINE PLACEMENT","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," APPLY SKIN SUBST 1ST 25 SQCM","","$674.00","$370.23","$504.83","$504.83","$0.00","$370.23","$383.51","$461.08","$0.00","$404.40","$405.07","$504.83","$471.80","$0.00","$458.99","","$0.00","","","","","","","",""
"Rockingham Hospital"," APPLY SKIN SUBST ADDL 25 SQCM","","$674.00","$370.23","$504.83","$504.83","$0.00","$370.23","$383.51","$461.08","$0.00","$404.40","$405.07","$504.83","$471.80","$0.00","$458.99","","$0.00","","","","","","","",""
"Rockingham Hospital"," PICC LINE LTD","","$1,206.00","$662.46","$903.29","$903.29","$0.00","$662.46","$686.21","$825.02","$0.00","$723.60","$724.81","$903.29","$844.20","$0.00","$821.29","","$0.00","","","","","","","",""
"Rockingham Hospital"," EXTERNAL VERSION","","$3,262.00","$1,791.82","$2,443.24","$2,443.24","$0.00","$1,791.82","$1,856.08","$2,231.53","$0.00","$1,957.20","$1,960.46","$2,443.24","$2,283.40","$0.00","$2,221.42","","$0.00","","","","","","","",""
"Rockingham Hospital"," BONE MARROW BIOPSY SURG COMP","","$951.00","$522.38","$712.30","$712.30","$0.00","$522.38","$541.12","$650.58","$0.00","$570.60","$571.55","$712.30","$665.70","$0.00","$647.63","","$0.00","","","","","","","",""
"Rockingham Hospital"," CLOSED TREATMENT FRACTURE","","$3,153.00","$1,731.94","$2,361.60","$2,361.60","$0.00","$1,731.94","$1,794.06","$2,156.97","$0.00","$1,891.80","$1,894.95","$2,361.60","$2,207.10","$0.00","$2,147.19","","$0.00","","","","","","","",""
"Rockingham Hospital"," PICC LINE","","$2,464.00","$1,353.48","$1,845.54","$1,845.54","$0.00","$1,353.48","$1,402.02","$1,685.62","$0.00","$1,478.40","$1,480.86","$1,845.54","$1,724.80","$0.00","$1,677.98","","$0.00","","","","","","","",""
"Rockingham Hospital"," JOINT INJECTION SINGLE","","$1,579.00","$867.34","$1,182.67","$1,182.67","$0.00","$867.34","$898.45","$1,080.19","$0.00","$947.40","$948.98","$1,182.67","$1,105.30","$0.00","$1,075.30","","$0.00","","","","","","","",""
"Rockingham Hospital"," JOINT INJECTION EA ADDL","","$565.00","$310.35","$423.19","$423.19","$0.00","$310.35","$321.48","$386.52","$0.00","$339.00","$339.56","$423.19","$395.50","$0.00","$384.77","","$0.00","","","","","","","",""
"Rockingham Hospital"," EPIDURAL INJECTION","","$1,579.00","$867.34","$1,182.67","$1,182.67","$0.00","$867.34","$898.45","$1,080.19","$0.00","$947.40","$948.98","$1,182.67","$1,105.30","$0.00","$1,075.30","","$0.00","","","","","","","",""
"Rockingham Hospital"," BLOOD PATCH","","$929.00","$510.30","$695.82","$695.82","$0.00","$510.30","$528.60","$635.53","$0.00","$557.40","$558.33","$695.82","$650.30","$0.00","$632.65","","$0.00","","","","","","","",""
"Rockingham Hospital"," PERIPHERAL NERVE BLOCK","","$879.00","$482.83","$658.37","$658.37","$0.00","$482.83","$500.15","$601.32","$0.00","$527.40","$528.28","$658.37","$615.30","$0.00","$598.60","","$0.00","","","","","","","",""
"Rockingham Hospital"," TRANSFORAMINAL ESI SINGLE","","$1,693.00","$929.96","$1,268.06","$1,268.06","$0.00","$929.96","$963.32","$1,158.18","$0.00","$1,015.80","$1,017.49","$1,268.06","$1,185.10","$0.00","$1,152.93","","$0.00","","","","","","","",""
"Rockingham Hospital"," TRANSFORAMINAL ESI BILATERAL","","$3,165.00","$1,738.53","$2,370.59","$2,370.59","$0.00","$1,738.53","$1,800.88","$2,165.18","$0.00","$1,899.00","$1,902.16","$2,370.59","$2,215.50","$0.00","$2,155.37","","$0.00","","","","","","","",""
"Rockingham Hospital"," TRANSFORAN ESI EA ADD SINGLE","","$882.00","$484.48","$660.62","$660.62","$0.00","$484.48","$501.86","$603.38","$0.00","$529.20","$530.08","$660.62","$617.40","$0.00","$600.64","","$0.00","","","","","","","",""
"Rockingham Hospital"," TRANSFORAN ESI EA ADD BILAT","","$1,583.00","$869.54","$1,185.67","$1,185.67","$0.00","$869.54","$900.73","$1,082.93","$0.00","$949.80","$951.38","$1,185.67","$1,108.10","$0.00","$1,078.02","","$0.00","","","","","","","",""
"Rockingham Hospital"," DJ INJECTION MISCELLANEOUS","","$615.00","$337.82","$460.63","$460.63","$0.00","$337.82","$349.93","$420.72","$0.00","$369.00","$369.62","$460.63","$430.50","$0.00","$418.82","","$0.00","","","","","","","",""
"Rockingham Hospital"," EVALUATE CVAD W FLUORO","","$503.00","$276.30","$376.75","$376.75","$0.00","$276.30","$286.21","$344.10","$0.00","$301.80","$302.30","$376.75","$352.10","$0.00","$342.54","","$0.00","","","","","","","",""
"Rockingham Hospital"," REMOVE TUNNELED CVAD","","$1,523.00","$836.58","$1,140.73","$1,140.73","$0.00","$836.58","$866.59","$1,041.88","$0.00","$913.80","$915.32","$1,140.73","$1,066.10","$0.00","$1,037.16","","$0.00","","","","","","","",""
"Rockingham Hospital"," US PUNC ASPIRATION 1ST CYST","","$1,393.00","$765.17","$1,043.36","$1,043.36","$0.00","$765.17","$792.62","$952.95","$0.00","$835.80","$837.19","$1,043.36","$975.10","$0.00","$948.63","","$0.00","","","","","","","",""
"Rockingham Hospital"," CRYPTOSPORIDIUM SMEAR STOOL","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," CHLAMYDIA GC TRICHOMONAS NAA","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," CHLAMYDIA + GONOCOCCUS DNA","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," STOOL CULTURE","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," GRAM NEG/POS SENSITIVITY","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","","$0.00","","","","","","","",""
"Rockingham Hospital"," AMPLATZ J TIP WIRE","","$1,751.00","$961.82","$1,311.50","$1,311.50","$0.00","$961.82","$996.32","$1,181.57","$0.00","$1,050.60","$1,052.35","$1,311.50","$1,225.70","$0.00","$1,192.43","","$0.00","","","","","","","",""
"Rockingham Hospital"," TPT 300 TURNER PNEUMOTHORAX","","$622.00","$341.66","$465.88","$465.88","$0.00","$341.66","$353.92","$419.73","$0.00","$373.20","$373.82","$465.88","$435.40","$0.00","$423.58","","$0.00","","","","","","","",""
"Rockingham Hospital"," 12-148 BLUE MAX BALLOON CATH9M","","$1,572.00","$863.50","$1,177.43","$1,177.43","$0.00","$863.50","$894.47","$1,060.79","$0.00","$943.20","$944.77","$1,177.43","$1,100.40","$0.00","$1,070.53","","$0.00","","","","","","","",""
"Rockingham Hospital"," 12-231 BLUE MAX BALLOON CATH7M","","$1,902.00","$1,044.77","$1,424.60","$1,424.60","$0.00","$1,044.77","$1,082.24","$1,283.47","$0.00","$1,141.20","$1,143.10","$1,424.60","$1,331.40","$0.00","$1,295.26","","$0.00","","","","","","","",""
"Rockingham Hospital"," 14-345 ULT THIN BAL CATH 4MM","","$1,862.00","$1,022.80","$1,394.64","$1,394.64","$0.00","$1,022.80","$1,059.48","$1,256.48","$0.00","$1,117.20","$1,119.06","$1,394.64","$1,303.40","$0.00","$1,268.02","","$0.00","","","","","","","",""
"Rockingham Hospital"," 14-327 ULT THIN BAL 6MM","","$1,862.00","$1,022.80","$1,394.64","$1,394.64","$0.00","$1,022.80","$1,059.48","$1,256.48","$0.00","$1,117.20","$1,119.06","$1,394.64","$1,303.40","$0.00","$1,268.02","","$0.00","","","","","","","",""
"Rockingham Hospital"," 14-309 ULT THIN BAL CATH 4MM","","$830.00","$455.92","$621.67","$621.67","$0.00","$455.92","$472.27","$560.08","$0.00","$498.00","$498.83","$621.67","$581.00","$0.00","$565.23","","$0.00","","","","","","","",""
"Rockingham Hospital"," 12-213 BLUE MAX BAL CATH 5MM","","$1,902.00","$1,044.77","$1,424.60","$1,424.60","$0.00","$1,044.77","$1,082.24","$1,283.47","$0.00","$1,141.20","$1,143.10","$1,424.60","$1,331.40","$0.00","$1,295.26","","$0.00","","","","","","","",""
"Rockingham Hospital"," 15-102 LEVEEN INFLATOR","","$499.00","$274.10","$373.75","$373.75","$0.00","$274.10","$283.93","$336.73","$0.00","$299.40","$299.90","$373.75","$349.30","$0.00","$339.82","","$0.00","","","","","","","",""
"Rockingham Hospital"," 46-300 STIFF SHAFT GLIDWARE","","$383.00","$210.38","$286.87","$286.87","$0.00","$210.38","$217.93","$258.45","$0.00","$229.80","$230.18","$286.87","$268.10","$0.00","$260.82","","$0.00","","","","","","","",""
"Rockingham Hospital"," 15-646-10 INTRODUCER SHEATH 7F","","$2,645.00","$1,452.90","$1,981.11","$1,981.11","$0.00","$1,452.90","$1,505.00","$1,784.85","$0.00","$1,587.00","$1,589.64","$1,981.11","$1,851.50","$0.00","$1,801.25","","$0.00","","","","","","","",""
"Rockingham Hospital"," 44-200 FLOW SWITCH","","$38.00","$20.87","$28.46","$28.46","$0.00","$20.87","$21.62","$25.64","$0.00","$22.80","$22.84","$28.46","$26.60","$0.00","$25.88","","$0.00","","","","","","","",""
"Rockingham Hospital"," 46-192 KATZEN INF WIRE","","$1,406.00","$772.32","$1,053.09","$1,053.09","$0.00","$772.32","$800.01","$948.77","$0.00","$843.60","$845.01","$1,053.09","$984.20","$0.00","$957.49","","$0.00","","","","","","","",""
"Rockingham Hospital"," 46-183 NEWISSEN INF CATH","","$564.00","$309.81","$422.44","$422.44","$0.00","$309.81","$320.92","$380.59","$0.00","$338.40","$338.96","$422.44","$394.80","$0.00","$384.08","","$0.00","","","","","","","",""
"Rockingham Hospital"," 15-300 TUOHY BREAST ADAPTERS","","$81.00","$44.49","$60.67","$60.67","$0.00","$44.49","$46.09","$54.66","$0.00","$48.60","$48.68","$60.67","$56.70","$0.00","$55.16","","$0.00","","","","","","","",""
"Rockingham Hospital"," 20-616 BANANA PEEL SHEATH","","$375.00","$205.99","$280.88","$280.88","$0.00","$205.99","$213.37","$253.05","$0.00","$225.00","$225.38","$280.88","$262.50","$0.00","$255.38","","$0.00","","","","","","","",""
"Rockingham Hospital"," 20-850 T FASTNER","","$375.00","$205.99","$280.88","$280.88","$0.00","$205.99","$213.37","$253.05","$0.00","$225.00","$225.38","$280.88","$262.50","$0.00","$255.38","","$0.00","","","","","","","",""
"Rockingham Hospital"," 22-910 C TUBE","","$87.00","$47.79","$65.16","$65.16","$0.00","$47.79","$49.50","$58.71","$0.00","$52.20","$52.29","$65.16","$60.90","$0.00","$59.25","","$0.00","","","","","","","",""
"Rockingham Hospital"," BSDN 19UT 5CM NEEDLE","","$25.00","$13.73","$18.73","$18.73","$0.00","$13.73","$14.22","$16.87","$0.00","$15.00","$15.02","$18.73","$17.50","$0.00","$17.03","","$0.00","","","","","","","",""
"Rockingham Hospital"," BSDN 19UT 7CM NEEDLE","","$25.00","$13.73","$18.73","$18.73","$0.00","$13.73","$14.22","$16.87","$0.00","$15.00","$15.02","$18.73","$17.50","$0.00","$17.03","","$0.00","","","","","","","",""
"Rockingham Hospital"," SCF35 145 BH WIRE RING B","","$230.00","$126.34","$172.27","$172.27","$0.00","$126.34","$130.87","$155.20","$0.00","$138.00","$138.23","$172.27","$161.00","$0.00","$156.63","","$0.00","","","","","","","",""
"Rockingham Hospital"," SCF 35 145 WIRES RING CBH","","$230.00","$126.34","$172.27","$172.27","$0.00","$126.34","$130.87","$155.20","$0.00","$138.00","$138.23","$172.27","$161.00","$0.00","$156.63","","$0.00","","","","","","","",""
"Rockingham Hospital"," TSFB 35 145 BH CATHER","","$80.00","$43.94","$59.92","$59.92","$0.00","$43.94","$45.52","$53.98","$0.00","$48.00","$48.08","$59.92","$56.00","$0.00","$54.48","","$0.00","","","","","","","",""
"Rockingham Hospital"," TSF35 260 BH CATH","","$136.00","$74.70","$101.86","$101.86","$0.00","$74.70","$77.38","$91.77","$0.00","$81.60","$81.74","$101.86","$95.20","$0.00","$92.62","","$0.00","","","","","","","",""
"Rockingham Hospital"," HNBR5.0 35-65 PNS CZ CATH","","$141.00","$77.45","$105.61","$105.61","$0.00","$77.45","$80.23","$95.15","$0.00","$84.60","$84.74","$105.61","$98.70","$0.00","$96.02","","$0.00","","","","","","","",""
"Rockingham Hospital"," DTDW 35-65 10BH TIP DEFLAT","","$331.00","$181.82","$247.92","$247.92","$0.00","$181.82","$188.34","$223.36","$0.00","$198.60","$198.93","$247.92","$231.70","$0.00","$225.41","","$0.00","","","","","","","",""
"Rockingham Hospital"," DBPS-65 TIP DEFLAT CATH","","$130.00","$71.41","$97.37","$97.37","$0.00","$71.41","$73.97","$87.72","$0.00","$78.00","$78.13","$97.37","$91.00","$0.00","$88.53","","$0.00","","","","","","","",""
"Rockingham Hospital"," TD-100 TORQUE DEVICE","","$57.00","$31.31","$42.69","$42.69","$0.00","$31.31","$32.43","$38.46","$0.00","$34.20","$34.26","$42.69","$39.90","$0.00","$38.82","","$0.00","","","","","","","",""
"Rockingham Hospital"," LMGR 7.0 65 HK 2.0 GLID CATH","","$705.00","$387.26","$528.04","$528.04","$0.00","$387.26","$401.14","$475.73","$0.00","$423.00","$423.70","$528.04","$493.50","$0.00","$480.11","","$0.00","","","","","","","",""
"Rockingham Hospital"," HNBR 5.0 .5-100 PW NS H1","","$141.00","$77.45","$105.61","$105.61","$0.00","$77.45","$80.23","$95.15","$0.00","$84.60","$84.74","$105.61","$98.70","$0.00","$96.02","","$0.00","","","","","","","",""
"Rockingham Hospital"," HNBR 5.035-100-PW NS JBI","","$141.00","$77.45","$105.61","$105.61","$0.00","$77.45","$80.23","$95.15","$0.00","$84.60","$84.74","$105.61","$98.70","$0.00","$96.02","","$0.00","","","","","","","",""
"Rockingham Hospital"," NCL UCI0507963 HC ULT GAST SET","","$519.00","$285.09","$388.73","$388.73","$0.00","$285.09","$295.31","$350.22","$0.00","$311.40","$311.92","$388.73","$363.30","$0.00","$353.44","","$0.00","","","","","","","",""
"Rockingham Hospital"," ANGIO TRAY","","$359.00","$197.20","$268.89","$268.89","$0.00","$197.20","$204.27","$242.25","$0.00","$215.40","$215.76","$268.89","$251.30","$0.00","$244.48","","$0.00","","","","","","","",""
"Rockingham Hospital"," VALVE PRECEPTOR","","$87.00","$47.79","$65.16","$65.16","$0.00","$47.79","$49.50","$58.71","$0.00","$52.20","$52.29","$65.16","$60.90","$0.00","$59.25","","$0.00","","","","","","","",""
"Rockingham Hospital"," BREAST LOCALIZING NEEDLE","","$376.00","$206.54","$281.62","$281.62","$0.00","$206.54","$213.94","$253.72","$0.00","$225.60","$225.98","$281.62","$263.20","$0.00","$256.06","","$0.00","","","","","","","",""
