Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,BCBS Medicare Advantage,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,Coventry,First Carolina Care,First Carolina Care Medicare Advantage,First Health,First Medicare Direct,Humana,Humana Gold,Humana Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Chatham Hospital","HC CHTOPTII CLOSE RX PROX/MID FING SHFT FX,MANIP","26725","$997.00","$279.16","$917.24","$757.72","$0.00","$772.97","$279.16","$598.20","$754.73","$528.41","$538.38","$757.72","$897.30","$297.80","$887.33","$299.10","$877.36","$292.02","$292.02","$917.24","$290.63","$897.30","$296.36","$293.12"
"Chatham Hospital","HC CHTOPTII REMOVE NASAL FOREIGN BODY","30300","$550.00","$154.00","$506.00","$418.00","$162.80","$426.42","$154.00","$330.00","$416.35","$291.50","$297.00","$418.00","$495.00","$164.29","$489.50","$165.00","$484.00","$161.10","$161.10","$506.00","$160.33","$495.00","$163.49","$161.70"
"Chatham Hospital","HC CHTOPTII CLOSED RX PROX/SHAFT FIBULA FX","27780","$898.00","$251.44","$826.16","$682.48","$0.00","$696.22","$251.44","$538.80","$679.79","$475.94","$484.92","$682.48","$808.20","$268.23","$799.22","$269.40","$790.24","$263.02","$263.02","$826.16","$261.77","$808.20","$266.93","$264.01"
"Chatham Hospital","HC CHTOPTII  INJECT(S) ANESTH AGENT(S) AND/OR STEROID TRIGEMINAL NERVE EA BRANCH","64400","$407.00","$113.96","$374.44","$309.32","$120.47","$315.55","$113.96","$244.20","$308.10","$215.71","$219.78","$309.32","$366.30","$121.57","$362.23","$122.10","$358.16","$119.21","$119.21","$374.44","$118.64","$366.30","$120.98","$119.66"
"Chatham Hospital","HC CHTOPTII INJECT(S) ANESTH AGENT(S) AND/OR STEROID BRACHIAL PLEXUS","64415","$333.00","$93.24","$306.36","$253.08","$98.57","$258.17","$93.24","$199.80","$252.08","$176.49","$179.82","$253.08","$299.70","$99.47","$296.37","$99.90","$293.04","$97.54","$97.54","$306.36","$97.07","$299.70","$98.98","$97.90"
"Chatham Hospital","HC CHTOPTII INJECT(S) ANESTH AGENT(S) AND/OR STEROID, FEMORAL NERVE","64447","$382.00","$106.96","$351.44","$290.32","$113.07","$296.16","$106.96","$229.20","$289.17","$202.46","$206.28","$290.32","$343.80","$114.10","$339.98","$114.60","$336.16","$111.89","$111.89","$351.44","$111.35","$343.80","$113.55","$112.31"
"Chatham Hospital","HC CHTOPTII INJECT(S) ANESTH AGENT(S) AND/OR STEROID, OTH PERIPHERAL NERVE/BRANCH","64450","$259.00","$72.52","$238.28","$196.84","$76.66","$200.80","$72.52","$155.40","$196.06","$137.27","$139.86","$196.84","$233.10","$77.36","$230.51","$77.70","$227.92","$75.86","$75.86","$238.28","$75.50","$233.10","$76.99","$76.15"
"Chatham Hospital","HC CHTOPTII EXTRACAP CATARACT REMVL WITH INSERT LENS  CPLX WO ECP","66982","$2,635.00","$737.80","$2,424.20","$2,002.60","$779.96","$2,042.92","$737.80","$1,581.00","$1,994.70","$1,396.55","$1,422.90","$2,002.60","$2,371.50","$787.07","$2,345.15","$790.50","$2,318.80","$771.79","$771.79","$2,424.20","$768.10","$2,371.50","$783.25","$774.69"
"Chatham Hospital","HC CHTOPTII REMV CATARACT EXTRACAP,INSERT LENS WO ECP","66984","$2,120.00","$593.60","$1,950.40","$1,611.20","$627.52","$1,643.64","$593.60","$1,272.00","$1,604.84","$1,123.60","$1,144.80","$1,611.20","$1,908.00","$633.24","$1,886.80","$636.00","$1,865.60","$620.95","$620.95","$1,950.40","$617.98","$1,908.00","$630.17","$623.28"
"Chatham Hospital","HC CHTOPTII EXC SKIN BENIG <0.5 CM TRUNK,ARM,LEG","11400","$365.00","$102.20","$335.80","$277.40","$108.04","$282.98","$102.20","$219.00","$276.31","$193.45","$197.10","$277.40","$328.50","$109.03","$324.85","$109.50","$321.20","$106.91","$106.91","$335.80","$106.40","$328.50","$108.50","$107.31"
"Chatham Hospital","HC CHTOPTII EXC TUMOR SOFT TISSUE OF NECK OR ANTERIOR THORAX SUBQ LESS THAN 3 CM","21555","$1,251.00","$350.28","$1,150.92","$950.76","$370.30","$969.90","$350.28","$750.60","$947.01","$663.03","$675.54","$950.76","$1,125.90","$373.67","$1,113.39","$375.30","$1,100.88","$366.42","$366.42","$1,150.92","$364.67","$1,125.90","$371.86","$367.79"
"Chatham Hospital","HC CHTOPTII KNEE SCOPE,FULL SYNOVECT","29876","$1,934.00","$541.52","$1,779.28","$1,469.84","$572.46","$1,499.43","$541.52","$1,160.40","$1,464.04","$1,025.02","$1,044.36","$1,469.84","$1,740.60","$577.69","$1,721.26","$580.20","$1,701.92","$566.47","$566.47","$1,779.28","$563.76","$1,740.60","$574.88","$568.60"
"Chatham Hospital","HC CHTOPTII LAYR CLOS WND FACE,FACIAL 2.6 TO 5 CM","12052","$889.00","$248.92","$817.88","$675.64","$0.00","$689.24","$248.92","$533.40","$672.97","$471.17","$480.06","$675.64","$800.10","$265.54","$791.21","$266.70","$782.32","$260.39","$260.39","$817.88","$259.14","$800.10","$264.26","$261.37"
"Chatham Hospital","HC CHTOPTII REPAIR LIP, FULL THICKNESS, UP TO HALF VERT HEIGHT","40652","$1,484.00","$415.52","$1,365.28","$1,127.84","$0.00","$1,150.55","$415.52","$890.40","$1,123.39","$786.52","$801.36","$1,127.84","$1,335.60","$443.27","$1,320.76","$445.20","$1,305.92","$434.66","$434.66","$1,365.28","$432.59","$1,335.60","$441.12","$436.30"
"Chatham Hospital","HC CHTOPTII REPAIR INTERMEDIATE NECK, HANDS, FEET, XTRNL GENT 2.5CM OR LESS","12041","$735.00","$205.80","$676.20","$558.60","$217.56","$569.85","$205.80","$441.00","$556.40","$389.55","$396.90","$558.60","$661.50","$219.54","$654.15","$220.50","$646.80","$215.28","$215.28","$676.20","$214.25","$661.50","$218.48","$216.09"
"Chatham Hospital","HC CHTOPTII DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE,=<20 SQ CM","11044","$922.00","$258.16","$848.24","$700.72","$272.91","$714.83","$258.16","$553.20","$697.95","$488.66","$497.88","$700.72","$829.80","$275.40","$820.58","$276.60","$811.36","$270.05","$270.05","$848.24","$268.76","$829.80","$274.06","$271.07"
"Chatham Hospital","HC CHTOPTII DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE,EACH ADD 20 SQ CM","11047","$363.00","$101.64","$333.96","$275.88","$107.45","$281.43","$101.64","$217.80","$274.79","$192.39","$196.02","$275.88","$326.70","$108.43","$323.07","$108.90","$319.44","$106.32","$106.32","$333.96","$105.81","$326.70","$107.90","$106.72"
"Chatham Hospital","HC CHTOPTII CARDIOVERSION, ELECTIVE, EXTERNAL","92960","$624.00","$174.72","$574.08","$474.24","$184.70","$483.79","$174.72","$374.40","$472.37","$330.72","$336.96","$474.24","$561.60","$186.39","$555.36","$187.20","$549.12","$182.77","$182.77","$574.08","$181.90","$561.60","$185.48","$183.46"
"Chatham Hospital","HC CHTOPTII CLOSED TX CALCANEAL FRACTURE W/O MANIPULATION","28400","$722.00","$202.16","$664.24","$548.72","$213.71","$559.77","$202.16","$433.20","$546.55","$382.66","$389.88","$548.72","$649.80","$215.66","$642.58","$216.60","$635.36","$211.47","$211.47","$664.24","$210.46","$649.80","$214.61","$212.27"
"Chatham Hospital","HC CHTOPTII REM TUN CVAD W/SQPRT/PMP CD/PC","36590","$798.00","$223.44","$734.16","$606.48","$236.21","$618.69","$223.44","$478.80","$604.09","$422.94","$430.92","$606.48","$718.20","$238.36","$710.22","$239.40","$702.24","$233.73","$233.73","$734.16","$232.62","$718.20","$237.21","$234.61"
"Chatham Hospital","HC CHTOPTII THYROID LOBECTOMY,UNILATERAL","60220","$2,096.00","$586.88","$1,928.32","$1,592.96","$0.00","$1,625.03","$586.88","$1,257.60","$1,586.67","$1,110.88","$1,131.84","$1,592.96","$1,886.40","$626.08","$1,865.44","$628.80","$1,844.48","$613.92","$613.92","$1,928.32","$610.98","$1,886.40","$623.04","$616.22"
"Chatham Hospital","HC CHTOPTII INITIAL HOSPITAL CARE/DAY 30 MINUTES","99221","$301.00","$84.28","$276.92","$228.76","$89.10","$233.37","$84.28","$180.60","$227.86","$159.53","$162.54","$228.76","$270.90","$89.91","$267.89","$90.30","$264.88","$88.16","$88.16","$276.92","$87.74","$270.90","$89.47","$88.49"
"Chatham Hospital","HC AIR CAST LRG LFT","","$141.00","$39.48","$129.72","$107.16","$0.00","$109.32","$39.48","$84.60","$106.74","$74.73","$76.14","$107.16","$126.90","$42.12","$125.49","$42.30","$124.08","$41.30","$41.30","$129.72","$41.10","$126.90","$41.91","$41.45"
"Chatham Hospital","HC CAST BOOT SMALL (79 81023)","","$141.00","$39.48","$129.72","$107.16","$0.00","$109.32","$39.48","$84.60","$106.74","$74.73","$76.14","$107.16","$126.90","$42.12","$125.49","$42.30","$124.08","$41.30","$41.30","$129.72","$41.10","$126.90","$41.91","$41.45"
"Chatham Hospital","HC CERVICAL COLLAR SM (79 83013)","","$201.00","$56.28","$184.92","$152.76","$0.00","$155.84","$56.28","$120.60","$152.16","$106.53","$108.54","$152.76","$180.90","$60.04","$178.89","$60.30","$176.88","$58.87","$58.87","$184.92","$58.59","$180.90","$59.75","$59.09"
"Chatham Hospital","HC CLAVICAL STRAP XSM (79-85002)","","$170.00","$47.60","$156.40","$129.20","$0.00","$131.80","$47.60","$102.00","$128.69","$90.10","$91.80","$129.20","$153.00","$50.78","$151.30","$51.00","$149.60","$49.79","$49.79","$156.40","$49.56","$153.00","$50.53","$49.98"
"Chatham Hospital","HC COLLES SPLNT XSM RT (79-72122)","","$191.00","$53.48","$175.72","$145.16","$0.00","$148.08","$53.48","$114.60","$144.59","$101.23","$103.14","$145.16","$171.90","$57.05","$169.99","$57.30","$168.08","$55.94","$55.94","$175.72","$55.68","$171.90","$56.77","$56.15"
"Chatham Hospital","HC FINGER SPLINT","","$34.00","$9.52","$31.28","$25.84","$0.00","$26.36","$9.52","$20.40","$25.74","$18.02","$18.36","$25.84","$30.60","$10.16","$30.26","$10.20","$29.92","$9.96","$9.96","$31.28","$9.91","$30.60","$10.11","$10.00"
"Chatham Hospital","HC KNEE IMMOBILIZER SM (79-20023)","","$363.00","$101.64","$333.96","$275.88","$0.00","$281.43","$101.64","$217.80","$274.79","$192.39","$196.02","$275.88","$326.70","$108.43","$323.07","$108.90","$319.44","$106.32","$106.32","$333.96","$105.81","$326.70","$107.90","$106.72"
"Chatham Hospital","HC PHILADLPHA COLLR SM (79 83133)","","$193.00","$54.04","$177.56","$146.68","$0.00","$149.63","$54.04","$115.80","$146.10","$102.29","$104.22","$146.68","$173.70","$57.65","$171.77","$57.90","$169.84","$56.53","$56.53","$177.56","$56.26","$173.70","$57.37","$56.74"
"Chatham Hospital","HC ED SHLDR IMMOBILIZR SM (79 84043)","","$256.00","$71.68","$235.52","$194.56","$0.00","$198.48","$71.68","$153.60","$193.79","$135.68","$138.24","$194.56","$230.40","$76.47","$227.84","$76.80","$225.28","$74.98","$74.98","$235.52","$74.62","$230.40","$76.10","$75.26"
"Chatham Hospital","HC WRIST SPLNT XSM LT (79 87082)","","$76.00","$21.28","$69.92","$57.76","$0.00","$58.92","$21.28","$45.60","$57.53","$40.28","$41.04","$57.76","$68.40","$22.70","$67.64","$22.80","$66.88","$22.26","$22.26","$69.92","$22.15","$68.40","$22.59","$22.34"
"Chatham Hospital","HC ED WRST BRCE W/THMB SPICA XSM RT","","$184.00","$51.52","$169.28","$139.84","$0.00","$142.66","$51.52","$110.40","$139.29","$97.52","$99.36","$139.84","$165.60","$54.96","$163.76","$55.20","$161.92","$53.89","$53.89","$169.28","$53.64","$165.60","$54.69","$54.10"
"Chatham Hospital","HC ACE BANDAGE","","$47.00","$13.16","$43.24","$35.72","$0.00","$36.44","$13.16","$28.20","$35.58","$24.91","$25.38","$35.72","$42.30","$14.04","$41.83","$14.10","$41.36","$13.77","$13.77","$43.24","$13.70","$42.30","$13.97","$13.82"
"Chatham Hospital","HC OCL CASTING SUPPLY SHORT","","$78.00","$21.84","$71.76","$59.28","$0.00","$60.47","$21.84","$46.80","$59.05","$41.34","$42.12","$59.28","$70.20","$23.30","$69.42","$23.40","$68.64","$22.85","$22.85","$71.76","$22.74","$70.20","$23.19","$22.93"
"Chatham Hospital","HC OCL CASTING SUPPLY LONG","","$154.00","$43.12","$141.68","$117.04","$0.00","$119.40","$43.12","$92.40","$116.58","$81.62","$83.16","$117.04","$138.60","$46.00","$137.06","$46.20","$135.52","$45.11","$45.11","$141.68","$44.89","$138.60","$45.78","$45.28"
"Chatham Hospital","HC COLLECT BLOOD VIA VENOUS CATH","36592","$77.00","$21.56","$70.84","$58.52","$22.79","$0.00","$21.56","$46.20","$58.29","$40.81","$41.58","$58.52","$69.30","$23.00","$68.53","$23.10","$67.76","$22.55","$22.55","$70.84","$22.45","$69.30","$22.89","$22.64"
"Chatham Hospital","HC US MEASURE POST VOID BLAD CAP","51798","$189.00","$52.92","$173.88","$143.64","$55.94","$146.53","$52.92","$113.40","$143.07","$100.17","$102.06","$143.64","$170.10","$56.45","$168.21","$56.70","$166.32","$55.36","$55.36","$173.88","$55.09","$170.10","$56.18","$55.57"
"Chatham Hospital","HC IUD INSERTION","58300","$188.00","$52.64","$172.96","$142.88","$0.00","$145.76","$52.64","$112.80","$142.32","$99.64","$101.52","$142.88","$169.20","$56.16","$167.32","$56.40","$165.44","$55.07","$55.07","$172.96","$54.80","$169.20","$55.88","$55.27"
"Chatham Hospital","HC DEBRIDE OPEN WOUND 1ST 20 SQ CM OR LESS","97597","$268.00","$75.04","$246.56","$203.68","$79.33","$207.78","$75.04","$160.80","$202.88","$142.04","$144.72","$203.68","$241.20","$80.05","$238.52","$80.40","$235.84","$78.50","$78.50","$246.56","$78.12","$241.20","$79.66","$78.79"
"Chatham Hospital","HC DEBRIDE OPEN WOUND EA ADDL 20 SQ CM","97598","$268.00","$75.04","$246.56","$203.68","$79.33","$207.78","$75.04","$160.80","$202.88","$142.04","$144.72","$203.68","$241.20","$80.05","$238.52","$80.40","$235.84","$78.50","$78.50","$246.56","$78.12","$241.20","$79.66","$78.79"
"Chatham Hospital","HC NONSELECTIVE DEBRIDEMENT WOUND","97602","$265.00","$74.20","$243.80","$201.40","$78.44","$205.45","$74.20","$159.00","$200.61","$140.45","$143.10","$201.40","$238.50","$79.16","$235.85","$79.50","$233.20","$77.62","$77.62","$243.80","$77.25","$238.50","$78.77","$77.91"
"Chatham Hospital","HC ARTERIAL PUNCT DRAW BLD FOR DX","36600","$52.00","$14.56","$47.84","$39.52","$15.39","$40.32","$14.56","$31.20","$39.36","$27.56","$28.08","$39.52","$46.80","$15.53","$46.28","$15.60","$45.76","$15.23","$15.23","$47.84","$15.16","$46.80","$15.46","$15.29"
"Chatham Hospital","HC ED PROCEDURE LEVEL 6","","$3,166.00","$886.48","$2,912.72","$2,406.16","$0.00","$2,454.60","$886.48","$1,899.60","$2,396.66","$1,677.98","$1,709.64","$2,406.16","$2,849.40","$945.68","$2,817.74","$949.80","$2,786.08","$927.32","$927.32","$2,912.72","$922.89","$2,849.40","$941.09","$930.80"
"Chatham Hospital","HC ED PROCEDURE LEVEL 5","","$2,620.00","$733.60","$2,410.40","$1,991.20","$0.00","$2,031.29","$733.60","$1,572.00","$1,983.34","$1,388.60","$1,414.80","$1,991.20","$2,358.00","$782.59","$2,331.80","$786.00","$2,305.60","$767.40","$767.40","$2,410.40","$763.73","$2,358.00","$778.80","$770.28"
"Chatham Hospital","HC ED PROCEDURE LEVEL 4","","$2,076.00","$581.28","$1,909.92","$1,577.76","$0.00","$1,609.52","$581.28","$1,245.60","$1,571.53","$1,100.28","$1,121.04","$1,577.76","$1,868.40","$620.10","$1,847.64","$622.80","$1,826.88","$608.06","$608.06","$1,909.92","$605.15","$1,868.40","$617.09","$610.34"
"Chatham Hospital","HC ED PROCEDURE LEVEL 3","","$1,158.00","$324.24","$1,065.36","$880.08","$0.00","$897.80","$324.24","$694.80","$876.61","$613.74","$625.32","$880.08","$1,042.20","$345.89","$1,030.62","$347.40","$1,019.04","$339.18","$339.18","$1,065.36","$337.56","$1,042.20","$344.22","$340.45"
"Chatham Hospital","HC ED PROCEDURE LEVEL 2","","$733.00","$205.24","$674.36","$557.08","$0.00","$568.29","$205.24","$439.80","$554.88","$388.49","$395.82","$557.08","$659.70","$218.95","$652.37","$219.90","$645.04","$214.70","$214.70","$674.36","$213.67","$659.70","$217.88","$215.50"
"Chatham Hospital","HC ED PROCEDURE LEVEL 1","","$268.00","$75.04","$246.56","$203.68","$0.00","$207.78","$75.04","$160.80","$202.88","$142.04","$144.72","$203.68","$241.20","$80.05","$238.52","$80.40","$235.84","$78.50","$78.50","$246.56","$78.12","$241.20","$79.66","$78.79"
"Chatham Hospital","HC ED VISIT LEVEL 1","99281","$115.00","$32.20","$105.80","$87.40","$34.04","$89.16","$32.20","$69.00","$87.06","$60.95","$62.10","$87.40","$103.50","$34.35","$102.35","$34.50","$101.20","$33.68","$33.68","$105.80","$33.52","$103.50","$34.18","$33.81"
"Chatham Hospital","HC ED VISIT LEVEL 2","99282","$179.00","$50.12","$164.68","$136.04","$52.98","$138.78","$50.12","$107.40","$135.50","$94.87","$96.66","$136.04","$161.10","$53.47","$159.31","$53.70","$157.52","$52.43","$52.43","$164.68","$52.18","$161.10","$53.21","$52.63"
"Chatham Hospital","HC ED VISIT LEVEL 3","99283","$349.00","$97.72","$321.08","$265.24","$103.30","$270.58","$97.72","$209.40","$264.19","$184.97","$188.46","$265.24","$314.10","$104.25","$310.61","$104.70","$307.12","$102.22","$102.22","$321.08","$101.73","$314.10","$103.74","$102.61"
"Chatham Hospital","HC ED VISIT LEVEL 4","99284","$666.00","$186.48","$612.72","$506.16","$197.14","$516.35","$186.48","$399.60","$504.16","$352.98","$359.64","$506.16","$599.40","$198.93","$592.74","$199.80","$586.08","$195.07","$195.07","$612.72","$194.14","$599.40","$197.97","$195.80"
"Chatham Hospital","HC ED VISIT LEVEL 5","99285","$835.00","$233.80","$768.20","$634.60","$247.16","$647.38","$233.80","$501.00","$632.10","$442.55","$450.90","$634.60","$751.50","$249.41","$743.15","$250.50","$734.80","$244.57","$244.57","$768.20","$243.40","$751.50","$248.20","$245.49"
"Chatham Hospital","HC ED CRITICAL CARE - 1ST 30-74 MIN","99291","$1,346.00","$376.88","$1,238.32","$1,022.96","$398.42","$1,043.55","$376.88","$807.60","$1,018.92","$713.38","$726.84","$1,022.96","$1,211.40","$402.05","$1,197.94","$403.80","$1,184.48","$394.24","$394.24","$1,238.32","$392.36","$1,211.40","$400.10","$395.72"
"Chatham Hospital","HC ED CRITICAL CARE EACH ADDL 30 MIN","99292","$280.00","$78.40","$257.60","$212.80","$82.88","$217.08","$78.40","$168.00","$211.96","$148.40","$151.20","$212.80","$252.00","$83.64","$249.20","$84.00","$246.40","$82.01","$82.01","$257.60","$81.62","$252.00","$83.23","$82.32"
"Chatham Hospital","HC CARDIOPULMONARY RESUSCITATION","92950","$419.00","$117.32","$385.48","$318.44","$124.02","$324.85","$117.32","$251.40","$317.18","$222.07","$226.26","$318.44","$377.10","$125.16","$372.91","$125.70","$368.72","$122.73","$122.73","$385.48","$122.14","$377.10","$124.55","$123.19"
"Chatham Hospital","HC ED TELEPSYCH ORIGINATING SITE FACILITY FEE","Q3014","$149.00","$41.72","$137.08","$113.24","$44.10","$115.52","$41.72","$89.40","$112.79","$78.97","$80.46","$113.24","$134.10","$44.51","$132.61","$44.70","$131.12","$43.64","$43.64","$137.08","$43.43","$134.10","$44.29","$43.81"
"Chatham Hospital","HC MODERATE SEDATION, INITIAL 15 MINUTES YOUNGER THAN 5 YEARS OF AGE","99151","$320.00","$89.60","$294.40","$243.20","$94.72","$248.10","$89.60","$192.00","$242.24","$169.60","$172.80","$243.20","$288.00","$95.58","$284.80","$96.00","$281.60","$93.73","$93.73","$294.40","$93.28","$288.00","$95.12","$94.08"
"Chatham Hospital","HC MODERATE SEDATION, INITIAL 15 MINUTES 5 YEARS OF AGE OR OLDER","99152","$264.00","$73.92","$242.88","$200.64","$78.14","$204.68","$73.92","$158.40","$199.85","$139.92","$142.56","$200.64","$237.60","$78.86","$234.96","$79.20","$232.32","$77.33","$77.33","$242.88","$76.96","$237.60","$78.47","$77.62"
"Chatham Hospital","HC MODERATE SEDATION, EACH ADDITIONAL 15 MINUTES","99153","$167.00","$46.76","$153.64","$126.92","$49.43","$129.48","$46.76","$100.20","$126.42","$88.51","$90.18","$126.92","$150.30","$49.88","$148.63","$50.10","$146.96","$48.91","$48.91","$153.64","$48.68","$150.30","$49.64","$49.10"
"Chatham Hospital","HC MOD SED BY MD OR OTHER HEALTH CARE PROF NOT PERFORMING THE SERVICE 5YRS&> INITIAL 15 MINS","99156","$396.00","$110.88","$364.32","$300.96","$0.00","$307.02","$110.88","$237.60","$299.77","$209.88","$213.84","$300.96","$356.40","$118.29","$352.44","$118.80","$348.48","$115.99","$115.99","$364.32","$115.43","$356.40","$117.71","$116.42"
"Chatham Hospital","HC STRESS ECHO W CONTINUOUS EKG WO CONT","93351","$1,834.00","$513.52","$1,687.28","$1,393.84","$542.86","$1,421.90","$513.52","$1,100.40","$1,388.34","$972.02","$990.36","$1,393.84","$1,650.60","$547.82","$1,632.26","$550.20","$1,613.92","$537.18","$537.18","$1,687.28","$534.61","$1,650.60","$545.16","$539.20"
"Chatham Hospital","HC EKG","93005","$394.00","$110.32","$362.48","$299.44","$116.62","$305.47","$110.32","$236.40","$298.26","$208.82","$212.76","$299.44","$354.60","$117.69","$350.66","$118.20","$346.72","$115.40","$115.40","$362.48","$114.85","$354.60","$117.12","$115.84"
"Chatham Hospital","HC RT EKG RHYTHM STRIP","93041","$208.00","$58.24","$191.36","$158.08","$61.57","$161.26","$58.24","$124.80","$157.46","$110.24","$112.32","$158.08","$187.20","$62.13","$185.12","$62.40","$183.04","$60.92","$60.92","$191.36","$60.63","$187.20","$61.83","$61.15"
"Chatham Hospital","HC TREATMENT SUPERFCL WOUND SIMPLE CLOSURE","12020","$556.00","$155.68","$511.52","$422.56","$164.58","$431.07","$155.68","$333.60","$420.89","$294.68","$300.24","$422.56","$500.40","$166.08","$494.84","$166.80","$489.28","$162.85","$162.85","$511.52","$162.07","$500.40","$165.27","$163.46"
"Chatham Hospital","HC CONT GLUCOSE MONITOR DIAG","95250","$579.00","$162.12","$532.68","$440.04","$171.38","$448.90","$162.12","$347.40","$438.30","$306.87","$312.66","$440.04","$521.10","$172.95","$515.31","$173.70","$509.52","$169.59","$169.59","$532.68","$168.78","$521.10","$172.11","$170.23"
"Chatham Hospital","HC CONT GLUCOSE MONITOR DIAG PAT OWNED UNIT","95249","$114.00","$31.92","$104.88","$86.64","$33.74","$88.38","$31.92","$68.40","$86.30","$60.42","$61.56","$86.64","$102.60","$34.05","$101.46","$34.20","$100.32","$33.39","$33.39","$104.88","$33.23","$102.60","$33.89","$33.52"
"Chatham Hospital","HC MNT ASSESSMNT INITL INDV 15MIN","97802","$52.00","$14.56","$47.84","$39.52","$15.39","$40.32","$14.56","$31.20","$39.36","$27.56","$28.08","$39.52","$46.80","$15.53","$46.28","$15.60","$45.76","$15.23","$15.23","$47.84","$15.16","$46.80","$15.46","$15.29"
"Chatham Hospital","HC MNT REASSESSMNT INDV 15MIN","97803","$32.00","$8.96","$29.44","$24.32","$9.47","$24.81","$8.96","$19.20","$24.22","$16.96","$17.28","$24.32","$28.80","$9.56","$28.48","$9.60","$28.16","$9.37","$9.37","$29.44","$9.33","$28.80","$9.51","$9.41"
"Chatham Hospital","HC MNT GROUP EACH 30MIN","97804","$104.00","$29.12","$95.68","$79.04","$30.78","$80.63","$29.12","$62.40","$78.73","$55.12","$56.16","$79.04","$93.60","$31.06","$92.56","$31.20","$91.52","$30.46","$30.46","$95.68","$30.32","$93.60","$30.91","$30.58"
"Chatham Hospital","HC DIABETIC SELF MGMT INDIV 30MIN","G0108","$107.00","$29.96","$98.44","$81.32","$31.67","$82.96","$29.96","$64.20","$81.00","$56.71","$57.78","$81.32","$96.30","$31.96","$95.23","$32.10","$94.16","$31.34","$31.34","$98.44","$31.19","$96.30","$31.81","$31.46"
"Chatham Hospital","HC DIABETIC SELF MGMT GROUP 30MIN","G0109","$51.00","$14.28","$46.92","$38.76","$15.10","$39.54","$14.28","$30.60","$38.61","$27.03","$27.54","$38.76","$45.90","$15.23","$45.39","$15.30","$44.88","$14.94","$14.94","$46.92","$14.87","$45.90","$15.16","$14.99"
"Chatham Hospital","HC GLUCOSE BLD BY MONITOR DEVICE POC","82962","$27.00","$3.28","$24.84","$10.26","$7.99","$10.19","$7.56","$16.20","$20.44","$14.31","$14.58","$10.26","$24.30","$0.00","$24.03","$3.38","$23.76","$3.31","$3.31","$24.84","$3.28","$24.30","$8.03","$7.94"
"Chatham Hospital","HC COLLECT BLOOD IMPL VENOUS ACCESS DEVICE","36591","$92.00","$25.76","$84.64","$69.92","$27.23","$0.00","$25.76","$55.20","$69.64","$48.76","$49.68","$69.92","$82.80","$27.48","$81.88","$27.60","$80.96","$26.95","$26.95","$84.64","$26.82","$82.80","$27.35","$27.05"
"Chatham Hospital","HC INSERT NON-INDWELLING BLADDER CATHETER","51701","$464.00","$129.92","$426.88","$352.64","$137.34","$359.74","$129.92","$278.40","$351.25","$245.92","$250.56","$352.64","$417.60","$138.60","$412.96","$139.20","$408.32","$135.91","$135.91","$426.88","$135.26","$417.60","$137.92","$136.42"
"Chatham Hospital","HC CIRCUMCISION","54150","$144.00","$40.32","$132.48","$109.44","$42.62","$111.64","$40.32","$86.40","$109.01","$76.32","$77.76","$109.44","$129.60","$43.01","$128.16","$43.20","$126.72","$42.18","$42.18","$132.48","$41.98","$129.60","$42.80","$42.34"
"Chatham Hospital","HC INSERT BLADDER CATH COMPLICATED","51703","$378.00","$105.84","$347.76","$287.28","$0.00","$293.06","$105.84","$226.80","$286.15","$200.34","$204.12","$287.28","$340.20","$112.91","$336.42","$113.40","$332.64","$110.72","$110.72","$347.76","$110.19","$340.20","$112.36","$111.13"
"Chatham Hospital","HC ANESTHESIA LVL 1 EA ADD 15 MIN","","$378.00","$105.84","$347.76","$287.28","$0.00","$293.06","$105.84","$226.80","$286.15","$200.34","$204.12","$287.28","$340.20","$112.91","$336.42","$113.40","$332.64","$110.72","$110.72","$347.76","$110.19","$340.20","$112.36","$111.13"
"Chatham Hospital","HC ANESTHESIA LVL 1 FIRST 15 MIN","","$378.00","$105.84","$347.76","$287.28","$0.00","$293.06","$105.84","$226.80","$286.15","$200.34","$204.12","$287.28","$340.20","$112.91","$336.42","$113.40","$332.64","$110.72","$110.72","$347.76","$110.19","$340.20","$112.36","$111.13"
"Chatham Hospital","HC ANESTHESIA LVL 2 EA ADD 15 MIN","","$752.00","$210.56","$691.84","$571.52","$0.00","$583.03","$210.56","$451.20","$569.26","$398.56","$406.08","$571.52","$676.80","$224.62","$669.28","$225.60","$661.76","$220.26","$220.26","$691.84","$219.21","$676.80","$223.53","$221.09"
"Chatham Hospital","HC ANESTHESIA LVL 2 FIRST 15 MIN","","$752.00","$210.56","$691.84","$571.52","$0.00","$583.03","$210.56","$451.20","$569.26","$398.56","$406.08","$571.52","$676.80","$224.62","$669.28","$225.60","$661.76","$220.26","$220.26","$691.84","$219.21","$676.80","$223.53","$221.09"
