Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Americas First Choice Medicare Advantage,BCBS,BCBS Medicare Advantage,BCBS UNC Health Alliance,Blue Home,Cash Discount,Cigna,Cigna Behavioral Health,Cigna Connect Network,Cigna SureFit,Crescent,First Carolina Care,First Medicare Direct,Galaxy,Health Payors,HealthScope,HealthSmart,Horizons Behavioral,Humana,Humana Alignment,Humana Medicare Advantage,Liberty Medicare Advantage,LifeTrac Medicare Advantage,MedCost,MedCost Ultra,Optum Health Behavioral,Pace,Piedmont,PPO Next,Provider Select,Southeastern Health Network,TriCare,United Healthcare,United Healthcare Medicare Advantage
"UNC Hospital","HC PT AQUATIC TX W THERAPEUTIC EX 15 MIN","97113","$179.00","$36.79","$179.00","$123.51","$38.77","$38.01","$103.48","$38.01","$57.66","$80.41","$107.40","$150.00","$179.00","$78.22","$80.01","$137.83","$134.25","$38.77","$170.05","$152.15","$143.20","$143.20","$0.00","$110.98","$38.01","$39.91","$39.91","$0.00","$128.16","$120.47","$143.20","$0.00","$143.20","$161.10","$152.15","$152.15","$36.79","$179.00","$38.20"
"UNC Hospital","HC PT GROUP THERAPY PROCEDURE","97150","$138.00","$17.54","$138.00","$95.22","$18.48","$18.12","$79.78","$18.12","$44.45","$61.99","$82.80","$138.00","$138.00","$60.31","$61.69","$106.26","$103.50","$18.48","$131.10","$117.30","$110.40","$110.40","$0.00","$85.56","$18.12","$19.03","$19.03","$0.00","$98.81","$92.87","$110.40","$0.00","$110.40","$124.20","$117.30","$117.30","$17.54","$138.00","$18.21"
"UNC Hospital","HC PT SENSORY INTEGRATION 15MIN","97533","$81.00","$26.09","$81.00","$55.89","$51.44","$50.43","$46.83","$50.43","$26.09","$36.39","$48.60","$81.00","$81.00","$35.40","$36.21","$62.37","$60.75","$51.44","$76.95","$68.85","$64.80","$64.80","$0.00","$50.22","$50.43","$52.95","$52.95","$0.00","$58.00","$54.51","$64.80","$0.00","$64.80","$72.90","$68.85","$68.85","$40.37","$81.00","$50.68"
"UNC Hospital","HC PT SELFCARE/HOME MGMT TRAINING 15 MIN","97535","$110.00","$32.49","$110.00","$75.90","$34.24","$33.57","$63.59","$33.57","$35.43","$49.41","$66.00","$110.00","$110.00","$48.07","$49.17","$84.70","$82.50","$34.24","$104.50","$93.50","$88.00","$88.00","$0.00","$68.20","$33.57","$35.25","$35.25","$0.00","$78.76","$74.03","$88.00","$0.00","$88.00","$99.00","$93.50","$93.50","$32.49","$110.00","$33.74"
"UNC Hospital","HC PT DEBRID OPEN WOUND 1ST 20 SQ CM OR LESS","97597","$320.00","$103.07","$320.00","$220.80","$175.18","$171.74","$184.99","$171.74","$103.07","$143.74","$192.00","$150.00","$320.00","$139.84","$143.04","$246.40","$240.00","$175.18","$304.00","$272.00","$256.00","$256.00","$0.00","$198.40","$171.74","$180.33","$180.33","$0.00","$229.12","$215.36","$256.00","$0.00","$256.00","$288.00","$272.00","$272.00","$166.59","$188.00","$172.60"
"UNC Hospital","HC PT DEBRID OPEN WOUND EA ADDL 20 SQ CM","97598","$320.00","$103.07","$320.00","$220.80","$0.00","$0.00","$184.99","$0.00","$103.07","$143.74","$192.00","$150.00","$320.00","$139.84","$143.04","$246.40","$240.00","$0.00","$304.00","$272.00","$256.00","$256.00","$0.00","$198.40","$0.00","$0.00","$0.00","$0.00","$229.12","$215.36","$256.00","$0.00","$256.00","$288.00","$272.00","$272.00","$0.00","$188.00","$0.00"
"UNC Hospital","HC PT PARAFFIN BATH","97018","$145.00","$5.79","$145.00","$100.05","$5.91","$5.79","$83.82","$5.79","$46.70","$65.13","$87.00","$145.00","$145.00","$63.37","$64.82","$111.65","$108.75","$5.91","$137.75","$123.25","$116.00","$116.00","$0.00","$89.90","$5.79","$6.08","$6.08","$0.00","$103.82","$97.59","$116.00","$0.00","$116.00","$130.50","$123.25","$123.25","$6.57","$145.00","$5.82"
"UNC Hospital","HC PT 6 MIN WALK (PULM STRESS TEST)","94618","$592.00","$103.95","$592.00","$408.48","$109.31","$107.17","$380.89","$107.17","$211.82","$296.00","$355.20","$387.76","$592.00","$258.70","$264.62","$455.84","$444.00","$109.31","$562.40","$503.20","$473.60","$473.60","$0.00","$367.04","$107.17","$112.52","$112.52","$0.00","$423.87","$398.42","$473.60","$0.00","$473.60","$532.80","$503.20","$503.20","$103.95","$245.00","$107.70"
"UNC Hospital","HC PT PROSTHETIC TRAINING UE,LE,TRUNK, INITIAL 15MINS","97761","$142.00","$38.79","$142.00","$97.98","$41.90","$41.08","$82.09","$41.08","$45.74","$63.79","$85.20","$142.00","$142.00","$62.05","$63.47","$109.34","$106.50","$41.90","$134.90","$120.70","$113.60","$113.60","$0.00","$88.04","$41.08","$43.13","$43.13","$0.00","$101.67","$95.57","$113.60","$0.00","$113.60","$127.80","$120.70","$120.70","$38.79","$142.00","$41.29"
"UNC Hospital","HC PT ORTH/PROSTH MNGMT/TRAIN UE,LE,TRUNK,SUBQ 15MINS","97763","$142.00","$45.74","$142.00","$97.98","$52.26","$51.43","$82.09","$51.43","$45.74","$63.79","$85.20","$142.00","$142.00","$62.05","$63.47","$109.34","$106.50","$52.46","$134.90","$120.70","$113.60","$113.60","$0.00","$134.90","$51.43","$54.00","$54.00","$0.00","$101.67","$95.57","$113.60","$0.00","$113.60","$127.80","$120.70","$120.70","$0.00","$142.00","$51.69"
"UNC Hospital","HC PT EVALUATION 20 MINS W/ PATIENT AND/OR FAMILY","97161","$286.00","$80.59","$286.00","$197.34","$85.97","$84.28","$165.34","$84.28","$92.12","$128.47","$171.60","$150.00","$286.00","$124.98","$127.84","$220.22","$214.50","$85.97","$271.70","$243.10","$228.80","$228.80","$0.00","$177.32","$84.28","$88.49","$88.49","$0.00","$204.78","$192.48","$228.80","$0.00","$228.80","$257.40","$243.10","$243.10","$80.59","$188.00","$84.70"
"UNC Hospital","HC PT EVALUATION 30 MINS W/ PATIENT AND/OR FAMILY","97162","$286.00","$80.59","$286.00","$197.34","$85.97","$84.28","$165.34","$84.28","$92.12","$128.47","$171.60","$150.00","$286.00","$124.98","$127.84","$220.22","$214.50","$85.97","$271.70","$243.10","$228.80","$228.80","$0.00","$177.32","$84.28","$88.49","$88.49","$0.00","$204.78","$192.48","$228.80","$0.00","$228.80","$257.40","$243.10","$243.10","$80.59","$188.00","$84.70"
"UNC Hospital","HC PT EVALUATION 45 MINS W/ PATIENT AND/OR FAMILY","97163","$286.00","$80.59","$286.00","$197.34","$85.97","$84.28","$165.34","$84.28","$92.12","$128.47","$171.60","$150.00","$286.00","$124.98","$127.84","$220.22","$214.50","$85.97","$271.70","$243.10","$228.80","$228.80","$0.00","$177.32","$84.28","$88.49","$88.49","$0.00","$204.78","$192.48","$228.80","$0.00","$228.80","$257.40","$243.10","$243.10","$80.59","$188.00","$84.70"
"UNC Hospital","HC PT RE-EVALUATION 20 MINS W/ PATIENT AND/OR FAMILY","97164","$195.00","$54.61","$195.00","$134.55","$58.92","$57.76","$112.73","$57.76","$62.81","$87.59","$117.00","$150.00","$195.00","$85.22","$87.17","$150.15","$146.25","$58.92","$185.25","$165.75","$156.00","$156.00","$0.00","$120.90","$57.76","$60.65","$60.65","$0.00","$139.62","$131.24","$156.00","$0.00","$156.00","$175.50","$165.75","$165.75","$54.61","$188.00","$58.05"
"UNC Hospital","HC OT PARAFFIN BATH","97018","$145.00","$5.79","$145.00","$100.05","$5.91","$5.79","$83.82","$5.79","$46.70","$65.13","$87.00","$145.00","$145.00","$63.37","$64.82","$111.65","$108.75","$5.91","$137.75","$123.25","$116.00","$116.00","$0.00","$89.90","$5.79","$6.08","$6.08","$0.00","$103.82","$97.59","$116.00","$0.00","$116.00","$130.50","$123.25","$123.25","$6.57","$145.00","$5.82"
"UNC Hospital","HC OT WHIRLPOOL","97022","$204.00","$16.93","$204.00","$140.76","$17.83","$17.48","$117.93","$17.48","$65.71","$91.64","$122.40","$150.00","$204.00","$89.15","$91.19","$157.08","$153.00","$17.83","$193.80","$173.40","$163.20","$163.20","$0.00","$126.48","$17.48","$18.35","$18.35","$0.00","$146.06","$137.29","$163.20","$0.00","$163.20","$183.60","$173.40","$173.40","$16.93","$188.00","$17.57"
"UNC Hospital","HC OT IONTOPHORESIS 15MIN","97033","$98.00","$19.75","$98.00","$67.62","$20.81","$20.40","$56.65","$20.40","$31.57","$44.02","$58.80","$98.00","$98.00","$42.83","$43.81","$75.46","$73.50","$20.81","$93.10","$83.30","$78.40","$78.40","$0.00","$60.76","$20.40","$21.42","$0.00","$0.00","$70.17","$65.95","$78.40","$0.00","$78.40","$88.20","$83.30","$83.30","$19.75","$98.00","$20.50"
"UNC Hospital","HC OT ULTRASOUND 15MIN","97035","$146.00","$13.11","$146.00","$100.74","$14.51","$14.23","$84.40","$14.23","$47.03","$65.58","$87.60","$146.00","$146.00","$63.80","$65.26","$112.42","$109.50","$14.51","$138.70","$124.10","$116.80","$116.80","$0.00","$90.52","$14.23","$14.94","$14.94","$0.00","$104.54","$98.26","$116.80","$0.00","$116.80","$131.40","$124.10","$124.10","$13.11","$146.00","$14.30"
"UNC Hospital","HC OT AQUATIC TX W THERAPEUTIC EX 15 MIN","97113","$179.00","$36.79","$179.00","$123.51","$38.77","$38.01","$103.48","$38.01","$57.66","$80.41","$107.40","$150.00","$179.00","$78.22","$80.01","$137.83","$134.25","$38.77","$170.05","$152.15","$143.20","$143.20","$0.00","$110.98","$38.01","$39.91","$39.91","$0.00","$128.16","$120.47","$143.20","$0.00","$143.20","$161.10","$152.15","$152.15","$36.79","$179.00","$38.20"
"UNC Hospital","HC OT GROUP THERAPY PROCEDURE","97150","$138.00","$17.54","$138.00","$95.22","$18.48","$18.12","$79.78","$18.12","$44.45","$61.99","$82.80","$138.00","$138.00","$60.31","$61.69","$106.26","$103.50","$18.48","$131.10","$117.30","$110.40","$110.40","$0.00","$85.56","$18.12","$19.03","$19.03","$0.00","$98.81","$92.87","$110.40","$0.00","$110.40","$124.20","$117.30","$117.30","$17.54","$138.00","$18.21"
"UNC Hospital","HC OT COGNITIVE SKILL DEVELOPMENT 15MIN","97129","$71.00","$22.79","$71.00","$48.99","$0.00","$0.00","$41.05","$22.79","$22.87","$31.89","$42.60","$71.00","$71.00","$31.03","$31.74","$54.67","$53.25","$0.00","$67.45","$60.35","$56.80","$56.80","$0.00","$44.02","$0.00","$0.00","$0.00","$0.00","$50.84","$47.78","$56.80","$0.00","$56.80","$63.90","$60.35","$60.35","$0.00","$71.00","$0.00"
"UNC Hospital","HC OT SENSORY INTEGRATION 15MIN","97533","$81.00","$26.09","$81.00","$55.89","$51.44","$50.43","$46.83","$50.43","$26.09","$36.39","$48.60","$81.00","$81.00","$35.40","$36.21","$62.37","$60.75","$51.44","$76.95","$68.85","$64.80","$64.80","$0.00","$50.22","$50.43","$52.95","$52.95","$0.00","$58.00","$54.51","$64.80","$0.00","$64.80","$72.90","$68.85","$68.85","$40.37","$81.00","$50.68"
"UNC Hospital","HC OT SELFCARE/HOME MGMT TRAINING 15 MIN","97535","$110.00","$32.49","$110.00","$75.90","$34.24","$33.57","$63.59","$33.57","$35.43","$49.41","$66.00","$110.00","$110.00","$48.07","$49.17","$84.70","$82.50","$34.24","$104.50","$93.50","$88.00","$88.00","$0.00","$68.20","$33.57","$35.25","$35.25","$0.00","$78.76","$74.03","$88.00","$0.00","$88.00","$99.00","$93.50","$93.50","$32.49","$110.00","$33.74"
"UNC Hospital","HC OT COMMUNITY/WORK REINTEGRATION TRAINING 15MIN","97537","$90.00","$28.99","$90.00","$62.10","$32.95","$32.30","$52.03","$32.30","$28.99","$40.43","$54.00","$90.00","$90.00","$39.33","$40.23","$69.30","$67.50","$32.95","$85.50","$76.50","$72.00","$72.00","$0.00","$55.80","$32.30","$33.92","$33.92","$0.00","$64.44","$60.57","$72.00","$0.00","$72.00","$81.00","$76.50","$76.50","$31.26","$90.00","$32.46"
"UNC Hospital","HC OT THERAPEUTIC EXERCISE 15MIN","97110","$130.00","$29.24","$130.00","$89.70","$30.81","$30.21","$75.15","$30.21","$41.87","$58.40","$78.00","$130.00","$130.00","$56.81","$58.11","$100.10","$97.50","$30.81","$123.50","$110.50","$104.00","$104.00","$0.00","$80.60","$30.21","$31.72","$31.72","$0.00","$93.08","$87.49","$104.00","$0.00","$104.00","$117.00","$110.50","$110.50","$29.24","$130.00","$30.36"
"UNC Hospital","HC OT NEUROMUSC RE EDUCATION 15MIN","97112","$78.00","$25.12","$78.00","$53.82","$35.39","$34.70","$45.09","$34.70","$25.12","$35.04","$46.80","$78.00","$78.00","$34.09","$34.87","$60.06","$58.50","$35.39","$74.10","$66.30","$62.40","$62.40","$0.00","$48.36","$34.70","$36.44","$36.44","$0.00","$55.85","$52.49","$62.40","$0.00","$62.40","$70.20","$66.30","$66.30","$33.26","$78.00","$34.87"
"UNC Hospital","HC OT MASSAGE 15MIN","97124","$70.00","$22.55","$70.00","$48.30","$29.25","$28.68","$40.47","$28.68","$22.55","$31.44","$42.00","$70.00","$70.00","$30.59","$31.29","$53.90","$52.50","$29.25","$66.50","$59.50","$56.00","$56.00","$0.00","$66.50","$28.68","$30.11","$30.11","$0.00","$50.12","$47.11","$56.00","$0.00","$56.00","$63.00","$59.50","$59.50","$27.12","$70.00","$28.82"
"UNC Hospital","HC OT MANUAL THERAPY TECHNIQ 15MIN","97140","$200.00","$26.67","$200.00","$138.00","$28.37","$27.81","$115.62","$27.81","$64.42","$89.84","$120.00","$150.00","$200.00","$87.40","$89.40","$154.00","$150.00","$28.37","$190.00","$170.00","$160.00","$160.00","$0.00","$124.00","$27.81","$29.20","$29.20","$0.00","$143.20","$134.60","$160.00","$0.00","$160.00","$180.00","$170.00","$170.00","$26.67","$188.00","$27.95"
"UNC Hospital","HC OT THERAPEUTIC ACTIVITIES 15MIN","97530","$158.00","$37.67","$158.00","$109.02","$39.35","$38.58","$91.34","$38.58","$50.89","$70.97","$94.80","$150.00","$158.00","$69.05","$70.63","$121.66","$118.50","$39.35","$150.10","$134.30","$126.40","$126.40","$0.00","$97.96","$38.58","$40.51","$40.51","$0.00","$113.13","$106.33","$126.40","$0.00","$126.40","$142.20","$134.30","$134.30","$37.67","$158.00","$38.77"
"UNC Hospital","HC OT WHEELCHAIR MGMNT 15MIN","97542","$150.00","$31.58","$150.00","$103.50","$33.29","$32.64","$86.72","$32.64","$48.32","$67.38","$90.00","$150.00","$150.00","$65.55","$67.05","$115.50","$112.50","$33.29","$142.50","$127.50","$120.00","$120.00","$0.00","$93.00","$32.64","$34.27","$34.27","$0.00","$107.40","$100.95","$120.00","$0.00","$120.00","$135.00","$127.50","$127.50","$31.58","$150.00","$32.80"
"UNC Hospital","HC OT WORK HARD COND INITIAL 2 HR","97545","$543.00","$150.00","$543.00","$374.67","$0.00","$0.00","$313.91","$174.30","$174.90","$243.92","$325.80","$150.00","$543.00","$237.29","$242.72","$418.11","$407.25","$0.00","$515.85","$461.55","$434.40","$434.40","$0.00","$336.66","$0.00","$0.00","$0.00","$0.00","$388.79","$365.44","$434.40","$0.00","$434.40","$488.70","$461.55","$461.55","$0.00","$188.00","$0.00"
"UNC Hospital","HC OT PHY PERF TEST MEAS 15MIN","97750","$204.00","$33.14","$204.00","$140.76","$34.92","$34.24","$117.93","$34.24","$65.71","$91.64","$122.40","$150.00","$204.00","$89.15","$91.19","$157.08","$153.00","$34.92","$193.80","$173.40","$163.20","$163.20","$0.00","$126.48","$34.24","$35.95","$35.95","$0.00","$146.06","$137.29","$163.20","$0.00","$163.20","$183.60","$173.40","$173.40","$33.14","$188.00","$34.41"
"UNC Hospital","HC OT ASSISTIVE TECH ASSESSMNT 15MIN","97755","$125.00","$40.26","$125.00","$86.25","$0.00","$0.00","$72.26","$0.00","$40.26","$56.15","$75.00","$125.00","$125.00","$54.63","$55.88","$96.25","$93.75","$0.00","$118.75","$106.25","$100.00","$100.00","$0.00","$77.50","$0.00","$0.00","$0.00","$0.00","$89.50","$84.13","$100.00","$0.00","$100.00","$112.50","$106.25","$106.25","$0.00","$125.00","$0.00"
"UNC Hospital","HC OT DEBRID OPEN WOUND 1ST 20 SQ CM OR LESS","97597","$320.00","$103.07","$320.00","$220.80","$175.18","$171.74","$184.99","$171.74","$103.07","$143.74","$192.00","$150.00","$320.00","$139.84","$143.04","$246.40","$240.00","$175.18","$304.00","$272.00","$256.00","$256.00","$0.00","$198.40","$171.74","$180.33","$180.33","$0.00","$229.12","$215.36","$256.00","$0.00","$256.00","$288.00","$272.00","$272.00","$166.59","$188.00","$172.60"
"UNC Hospital","HC OT DEBRIDE OPEN WOUND EA ADDL 20 SQ CM","97598","$320.00","$103.07","$320.00","$220.80","$0.00","$0.00","$184.99","$0.00","$103.07","$143.74","$192.00","$150.00","$320.00","$139.84","$143.04","$246.40","$240.00","$0.00","$304.00","$272.00","$256.00","$256.00","$0.00","$198.40","$0.00","$0.00","$0.00","$0.00","$229.12","$215.36","$256.00","$0.00","$256.00","$288.00","$272.00","$272.00","$0.00","$188.00","$0.00"
"UNC Hospital","HC OT SWALLOWING THERAPY","92526","$172.00","$55.40","$172.00","$118.68","$88.04","$86.31","$99.43","$86.31","$55.40","$77.26","$103.20","$150.00","$172.00","$75.16","$76.88","$132.44","$129.00","$88.04","$163.40","$146.20","$137.60","$137.60","$0.00","$106.64","$86.31","$90.63","$90.63","$0.00","$123.15","$115.76","$137.60","$0.00","$137.60","$154.80","$146.20","$146.20","$82.23","$172.00","$86.74"
"UNC Hospital","HC OT ORTHOTIC MNGMT/TRAIN UE,LE,TRUNK, INITIAL 15MINS","97760","$145.00","$44.98","$145.00","$100.05","$49.09","$48.13","$83.82","$48.13","$46.70","$65.13","$87.00","$145.00","$145.00","$63.37","$64.82","$111.65","$108.75","$49.09","$137.75","$123.25","$116.00","$116.00","$0.00","$89.90","$48.13","$50.54","$50.54","$0.00","$103.82","$97.59","$116.00","$0.00","$116.00","$130.50","$123.25","$123.25","$44.98","$145.00","$48.37"
"UNC Hospital","HC OT ORTH/PROSTH MNGMT/TRAIN UE,LE,TRUNK,SUBQ 15MINS","97763","$142.00","$45.74","$142.00","$97.98","$52.26","$51.43","$82.09","$51.43","$45.74","$63.79","$85.20","$142.00","$142.00","$62.05","$63.47","$109.34","$106.50","$52.46","$134.90","$120.70","$113.60","$113.60","$0.00","$134.90","$51.43","$54.00","$54.00","$0.00","$101.67","$95.57","$113.60","$0.00","$113.60","$127.80","$120.70","$120.70","$0.00","$142.00","$51.69"
"UNC Hospital","HC OT COGNITIVE SKILL DEVELOPMENT EACH ADDL 15 MIN","97130","$71.00","$22.79","$71.00","$48.99","$0.00","$0.00","$41.05","$22.79","$22.87","$31.89","$42.60","$71.00","$71.00","$31.03","$31.74","$54.67","$53.25","$0.00","$67.45","$60.35","$56.80","$56.80","$0.00","$44.02","$0.00","$0.00","$0.00","$0.00","$50.84","$47.78","$56.80","$0.00","$56.80","$63.90","$60.35","$60.35","$0.00","$71.00","$0.00"
"UNC Hospital","HC OT SWALLOWING EVALUATION","92610","$338.00","$69.71","$338.00","$233.22","$73.28","$71.84","$195.40","$71.84","$108.87","$151.83","$202.80","$150.00","$338.00","$147.71","$151.09","$260.26","$253.50","$73.28","$321.10","$287.30","$270.40","$270.40","$0.00","$209.56","$71.84","$75.43","$75.43","$0.00","$242.01","$227.47","$270.40","$0.00","$270.40","$304.20","$287.30","$287.30","$69.71","$188.00","$72.20"
"UNC Hospital","HC OT EVALUATION 30 MINS W/ PATIENT AND/OR FAMILY","97165","$278.00","$86.45","$278.00","$191.82","$91.10","$89.31","$160.71","$89.31","$89.54","$124.88","$166.80","$150.00","$278.00","$121.49","$124.27","$214.06","$208.50","$91.10","$264.10","$236.30","$222.40","$222.40","$0.00","$172.36","$89.31","$93.78","$93.78","$0.00","$199.05","$187.09","$222.40","$0.00","$222.40","$250.20","$236.30","$236.30","$86.45","$188.00","$89.76"
"UNC Hospital","HC OT EVALUATION 45 MINS W/ PATIENT AND/OR FAMILY","97166","$278.00","$86.45","$278.00","$191.82","$90.76","$88.98","$160.71","$88.98","$89.54","$124.88","$166.80","$150.00","$278.00","$121.49","$124.27","$214.06","$208.50","$90.76","$264.10","$236.30","$222.40","$222.40","$0.00","$172.36","$88.98","$93.43","$93.43","$0.00","$199.05","$187.09","$222.40","$0.00","$222.40","$250.20","$236.30","$236.30","$86.45","$188.00","$89.42"
"UNC Hospital","HC OT EVALUATION 60 MINS W/ PATIENT AND/OR FAMILY","97167","$278.00","$86.45","$278.00","$191.82","$90.76","$88.98","$160.71","$88.98","$89.54","$124.88","$166.80","$150.00","$278.00","$121.49","$124.27","$214.06","$208.50","$90.76","$264.10","$236.30","$222.40","$222.40","$0.00","$172.36","$88.98","$93.43","$93.43","$0.00","$199.05","$187.09","$222.40","$0.00","$222.40","$250.20","$236.30","$236.30","$86.45","$188.00","$89.42"
"UNC Hospital","HC OT RE-EVALUATION 30 MINS W/ PATIENT AND/OR FAMILY","97168","$184.00","$59.17","$184.00","$126.96","$62.68","$61.45","$106.37","$61.45","$59.27","$82.65","$110.40","$150.00","$184.00","$80.41","$82.25","$141.68","$138.00","$62.68","$174.80","$156.40","$147.20","$147.20","$0.00","$114.08","$61.45","$64.52","$64.52","$0.00","$131.74","$123.83","$147.20","$0.00","$147.20","$165.60","$156.40","$156.40","$59.17","$184.00","$61.76"
"UNC Hospital","HC SP TREATMENT S/L/V","92507","$284.00","$75.30","$284.00","$195.96","$80.06","$78.49","$164.18","$78.49","$91.48","$127.57","$170.40","$150.00","$284.00","$124.11","$126.95","$218.68","$213.00","$80.06","$269.80","$241.40","$227.20","$227.20","$0.00","$176.08","$78.49","$82.41","$82.41","$0.00","$203.34","$191.13","$227.20","$0.00","$227.20","$255.60","$241.40","$241.40","$75.30","$188.00","$78.88"
"UNC Hospital","HC SP TREATMENT GROUP S/L/V","92508","$168.00","$54.11","$168.00","$115.92","$0.00","$0.00","$97.12","$0.00","$54.11","$75.47","$100.80","$150.00","$168.00","$73.42","$75.10","$129.36","$126.00","$0.00","$159.60","$142.80","$134.40","$134.40","$0.00","$104.16","$0.00","$0.00","$0.00","$0.00","$120.29","$113.06","$134.40","$0.00","$134.40","$151.20","$142.80","$142.80","$0.00","$168.00","$0.00"
"UNC Hospital","HC SP LARYNGEAL FUNC STUDIES","92520","$553.00","$103.95","$553.00","$381.57","$109.31","$107.17","$319.69","$107.17","$178.12","$248.41","$331.80","$150.00","$553.00","$241.66","$247.19","$425.81","$414.75","$109.31","$525.35","$470.05","$442.40","$442.40","$0.00","$342.86","$107.17","$112.52","$112.52","$0.00","$395.95","$372.17","$442.40","$0.00","$442.40","$497.70","$470.05","$470.05","$103.95","$188.00","$107.70"
"UNC Hospital","HC SP SWALLOWING THERAPY","92526","$246.00","$79.24","$246.00","$169.74","$88.04","$86.31","$142.21","$86.31","$79.24","$110.50","$147.60","$150.00","$246.00","$107.50","$109.96","$189.42","$184.50","$88.04","$233.70","$209.10","$196.80","$196.80","$0.00","$152.52","$86.31","$90.63","$90.63","$0.00","$176.14","$165.56","$196.80","$0.00","$196.80","$221.40","$209.10","$209.10","$82.23","$188.00","$86.74"
"UNC Hospital","HC SP THERAPY SPEECH GENERATING DEV","92609","$264.00","$85.03","$264.00","$182.16","$0.00","$0.00","$152.62","$0.00","$85.03","$118.59","$158.40","$150.00","$264.00","$115.37","$118.01","$203.28","$198.00","$0.00","$250.80","$224.40","$211.20","$211.20","$0.00","$163.68","$0.00","$0.00","$0.00","$0.00","$189.02","$177.67","$211.20","$0.00","$211.20","$237.60","$224.40","$224.40","$0.00","$188.00","$0.00"
"UNC Hospital","HC SP APHASIA ASSESSMENT","96105","$290.00","$93.41","$290.00","$200.10","$103.53","$101.50","$167.65","$101.50","$93.41","$130.27","$174.00","$150.00","$290.00","$126.73","$129.63","$223.30","$217.50","$103.53","$275.50","$246.50","$232.00","$232.00","$0.00","$179.80","$101.50","$106.58","$0.00","$0.00","$207.64","$195.17","$232.00","$0.00","$232.00","$261.00","$246.50","$246.50","$98.46","$188.00","$102.01"
"UNC Hospital","HC SP DEVELOPMENTAL TESTING LIMITED","96110","$312.00","$77.20","$312.00","$215.28","$78.74","$77.20","$180.37","$77.20","$100.50","$140.15","$187.20","$150.00","$312.00","$136.34","$139.46","$240.24","$234.00","$78.74","$296.40","$265.20","$249.60","$249.60","$0.00","$193.44","$77.20","$81.06","$81.06","$0.00","$223.39","$209.98","$249.60","$0.00","$249.60","$280.80","$265.20","$265.20","$0.00","$188.00","$77.58"
"UNC Hospital","HC SP BIOFEEDBACK TRAIN ANY MODALITY","90901","$273.00","$19.28","$273.00","$188.37","$20.28","$19.88","$157.82","$19.88","$87.93","$122.63","$163.80","$150.00","$273.00","$119.30","$122.03","$210.21","$204.75","$20.28","$259.35","$232.05","$218.40","$218.40","$0.00","$169.26","$19.88","$20.87","$20.87","$0.00","$195.47","$183.73","$218.40","$0.00","$218.40","$245.70","$232.05","$232.05","$19.28","$188.00","$19.98"
"UNC Hospital","HC SP COGNITIVE PERFORMANCE TESTING","96125","$311.00","$100.17","$311.00","$214.59","$110.00","$107.84","$179.79","$107.84","$100.17","$139.70","$186.60","$150.00","$311.00","$135.91","$139.02","$239.47","$233.25","$110.00","$295.45","$264.35","$248.80","$248.80","$0.00","$192.82","$107.84","$113.23","$113.23","$0.00","$222.68","$209.30","$248.80","$0.00","$248.80","$279.90","$264.35","$264.35","$105.07","$188.00","$108.38"
"UNC Hospital","HC EVAL SPEECH FLUENCY","92521","$311.00","$100.17","$311.00","$214.59","$113.89","$111.66","$179.79","$111.66","$100.17","$139.70","$186.60","$150.00","$311.00","$135.91","$139.02","$239.47","$233.25","$113.89","$295.45","$264.35","$248.80","$248.80","$0.00","$192.82","$111.66","$117.24","$117.24","$0.00","$222.68","$209.30","$248.80","$0.00","$248.80","$279.90","$264.35","$264.35","$108.19","$188.00","$112.22"
"UNC Hospital","HC SPEECH SOUND PRODUCTION","92522","$290.00","$87.58","$290.00","$200.10","$93.05","$91.23","$167.65","$91.23","$93.41","$130.27","$174.00","$150.00","$290.00","$126.73","$129.63","$223.30","$217.50","$93.05","$275.50","$246.50","$232.00","$232.00","$0.00","$179.80","$91.23","$95.79","$95.79","$0.00","$207.64","$195.17","$232.00","$0.00","$232.00","$261.00","$246.50","$246.50","$87.58","$188.00","$91.69"
"UNC Hospital","HC EVAL SPEECH SOUND LANG COMP/EXP","92523","$626.00","$150.00","$626.00","$431.94","$195.32","$191.49","$361.89","$191.49","$201.63","$281.20","$375.60","$150.00","$626.00","$273.56","$279.82","$482.02","$469.50","$195.32","$594.70","$532.10","$500.80","$500.80","$0.00","$388.12","$191.49","$201.06","$201.06","$0.00","$448.22","$421.30","$500.80","$0.00","$500.80","$563.40","$532.10","$532.10","$186.63","$188.00","$192.45"
"UNC Hospital","HC BEHAVRL QUAL ANALYS VOICE","92524","$311.00","$84.73","$311.00","$214.59","$90.99","$89.21","$179.79","$89.21","$100.17","$139.70","$186.60","$150.00","$311.00","$135.91","$139.02","$239.47","$233.25","$90.99","$295.45","$264.35","$248.80","$248.80","$0.00","$192.82","$89.21","$93.67","$93.67","$0.00","$222.68","$209.30","$248.80","$0.00","$248.80","$279.90","$264.35","$264.35","$84.73","$188.00","$89.66"
"UNC Hospital","HC SP EVALUATION S/L/V","92506","$583.00","$150.00","$583.00","$402.27","$0.00","$0.00","$337.03","$187.14","$187.78","$261.88","$349.80","$150.00","$583.00","$254.77","$260.60","$448.91","$437.25","$0.00","$553.85","$495.55","$466.40","$466.40","$0.00","$361.46","$0.00","$0.00","$0.00","$0.00","$417.43","$392.36","$466.40","$0.00","$466.40","$524.70","$495.55","$495.55","$0.00","$188.00","$0.00"
