Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna NBD,BCBS,Cash Discount,Cigna,First Health,MedCost,TriCare,United,BCBS Note,TriCare Note
"Lenoir Memorial Hospital","CRNA RAD PROC ART RETRO BR/FEM","01916","$5.67","$4.43","$5.67","$5.05","$5.27","$4.43","$3.40","$4.92","$5.05","$5.10","$5.67","$4.82","",""
"Lenoir Memorial Hospital","CRNA RAD PROC ARTERIOGRAMS","01916","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA RAD PROC ARTERIOGRAMS","01916","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA RAD PROC CAT SCAN/MRI","01922","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA RAD PROC CAT SCAN/MRI","01922","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SHOULDER AXILL BRACH ANEU","01652","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER AXILL BRACH ANEU","01652","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SHOULDER CAST APP/REMOVE","01680","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER CAST APP/REMOVE","01680","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SPINE CERV CORD","00604","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SPINE CERV CORD","00604","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SPINE CERV LAMINECTOMY","00604","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SPINE CERV LAMINECTOMY","00604","$5.71","$4.46","$5.71","$5.08","$5.31","$4.46","$3.43","$4.95","$5.08","$5.14","$5.71","$4.85","",""
"Lenoir Memorial Hospital","CRNA SPINE THORACIS CORD","00620","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SPINE THORACIS CORD","00620","$5.04","$3.94","$5.04","$4.49","$4.69","$3.94","$3.02","$4.37","$4.49","$4.54","$5.04","$4.28","",""
"Lenoir Memorial Hospital","CRNA SHOULDER DISARTICULATION","01634","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER DISARTICULATION","01634","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SHOULDER INTERTHORACOSCAP","01636","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER INTERTHORACOSCAP","01636","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SHOULDER RAD RESECT","01630","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER RAD RESECT","01630","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SHOULDER SPICA","01682","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER SPICA","01682","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA SHOULDER TOTAL REPLACE","01638","$2.82","$2.20","$2.82","$2.51","$2.62","$2.20","$1.69","$2.44","$2.51","$2.54","$2.82","$2.40","",""
"Lenoir Memorial Hospital","CRNA SHOULDER TOTAL REPLACE","01638","$5.67","$4.43","$5.67","$5.05","$5.27","$4.43","$3.40","$4.92","$5.05","$5.10","$5.67","$4.82","",""
"Lenoir Memorial Hospital","CRNA SHOULDER VEINS +AXILLA","01670","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA SHOULDER VEINS +AXILLA","01670","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW AR ELB JT","01732","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW AR ELB JT","01732","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB EXC APT/TUMOR","01758","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB EXC APT/TUMOR","01758","$5.38","$4.21","$5.38","$4.79","$5.00","$4.21","$3.23","$4.66","$4.79","$4.84","$5.38","$4.57","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB EMBOLECTOMY","01772","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB EMBOLECTOMY","01772","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB NON/MAL HUM","01744","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB NON/MAL HUM","01744","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW OSTEO HUMER","01742","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW OSTEO HUMER","01742","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB PHLEBORR","01782","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB PHLEBORR","01782","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB RAD PROC","01756","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB RAD PROC","01756","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB/SHLDR TENO","01714","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB/SHLDR TENO","01714","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW TENODESIS","01716","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW TENODESIS","01716","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW TEND OPEN","01712","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW TEND OPEN","01712","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB TOTAL ELB REP","01760","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELB TOTAL ELB REP","01760","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW VEINS","01780","$2.82","$2.20","$2.82","$2.51","$2.62","$2.20","$1.69","$2.44","$2.51","$2.54","$2.82","$2.40","",""
"Lenoir Memorial Hospital","CRNA UPP ARM/ELBOW VEINS","01780","$5.67","$4.43","$5.67","$5.05","$5.27","$4.43","$3.40","$4.92","$5.05","$5.10","$5.67","$4.82","",""
"Lenoir Memorial Hospital","CRNA VENTRIGULOGRAPHY","00214","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA VENTRIGULOGRAPHY","00214","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA KNEE CAST APP/REM","01420","$225.01","$175.89","$225.01","$200.26","$209.26","$175.89","$135.01","$195.08","$200.26","$202.51","$225.01","$191.26","",""
"Lenoir Memorial Hospital","PERINEUM VAGINAL HYSTERECTOMY","944","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","PERINEUM VAGINAL HYSTERECTOMY","944","$11.00","$7.53","$11.00","$9.79","$10.23","$7.53","$6.60","$9.54","$9.79","$9.90","$11.00","$9.35","",""
"Lenoir Memorial Hospital","LEG UPP TOTAL HIP REPLACE/REV","1214","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","LEG UPP TOTAL HIP REPLACE/REV","1214","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","KNEE PROC INTEG SYS KNEE/POPLI","400","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","KNEE PROC INTEG SYS KNEE/POPLI","400","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","LEG LOW RUP ACHILLES TENDON","1472","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","LEG LOW RUP ACHILLES TENDON","1472","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","UPP ARM/ELBOW ARTERIES","1770","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","UPP ARM/ELBOW ARTERIES","1770","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","FOREARM WRT HAND VASCULAR SHUN","1844","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","FOREARM WRT HAND VASCULAR SHUN","1844","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","CRNA KNEE CLOSED LOW 1/3 FEM","01340","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA KNEE CLOSED LOW 1/3 FEM","01340","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","CRNA LUMBAR DISCOGRAPHY","01935","$2.35","$1.84","$2.35","$2.09","$2.19","$1.84","$1.41","$2.04","$2.09","$2.12","$2.35","$2.00","",""
"Lenoir Memorial Hospital","CRNA LUMBAR DISCOGRAPHY","01935","$4.93","$3.85","$4.93","$4.39","$4.58","$3.85","$2.96","$4.27","$4.39","$4.44","$4.93","$4.19","",""
"Lenoir Memorial Hospital","ABD LOW CYSTOLITHOTOMY","870","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ABD LOW CYSTOLITHOTOMY","870","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES HEAD BLEPHAROPLASTY","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES HEAD OTOSCOPY","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD TYMPANOTOMY","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES HEAD CORNEAL TRANSPLANT","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD VITRECTOMY","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES HEAD IRIDECTOMY","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES HEAD OPHTHALMOSCOPY","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD RADICAL SURGERY","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD BIOPSY; SOFT TISSUE","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD CLEFT PALATE REPAIR","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES HEAD EXC RETROPHARY TUMOR","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD RAD SURG INTRA PROC","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES HEAD R SURG INC PROGNATHI","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES NECK THYROID NEEDLE BIOP","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES NECK SIMPLE LIGATION","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES CHEST BREAST INT MAM NODE","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES CHEST ARRYTHMIAS E CONV","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES CHEST RADICAL SURGERY","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES CHEST CLAVICLE BIOPSY","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES CHEST THORACOPLASTY ANY T","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES CHEST PECTUS EXC RADICAL","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES INTRA ESOPHAGUS ALL","","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES INTRA PLEURA BIOPSY","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES INTRA PNEUMOCENTESIS","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES INTRA DECORTICATION","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES INTRA PUL RESEC W/THOR","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES INTRA TRACHEA & BRONCH","","$5.00","$3.42","$5.00","$4.45","$4.65","$3.42","$3.00","$4.33","$4.45","$4.50","$5.00","$4.25","",""
"Lenoir Memorial Hospital","ANES SPINE CERVICAL + CORD","600","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES SPINE CERV LAMINEC POST","604","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES SPINE THORACIS + CORD","620","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES SPINE LUMBAR SYMPATNEC","632","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES SPINE LUMBAR PUNCTURE","635","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES EXTENSIVE SPINE + CORD","670","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","INJ; EPIDURAL","62326","$1,177.00","$805.54","$1,177.00","$1,047.53","$1,094.61","$805.54","$706.20","$1,020.46","$1,047.53","$1,059.30","$1,177.00","$1,000.45","",""
"Lenoir Memorial Hospital","N BLOCK CENT INFUS LUMBAR PLEX","64449","$256.00","$175.21","$256.00","$227.84","$238.08","$175.21","$153.60","$221.95","$227.84","$230.40","$256.00","$217.60","",""
"Lenoir Memorial Hospital","N BLOCK CENT INFUS SCIATIC INJ","64446","$511.00","$349.73","$511.00","$454.79","$475.23","$349.73","$306.60","$443.04","$454.79","$459.90","$511.00","$434.35","",""
"Lenoir Memorial Hospital","N BLOCK CENT INFUS FEMORAL INJ","64448","$829.00","$567.37","$829.00","$737.81","$770.97","$567.37","$497.40","$718.74","$737.81","$746.10","$829.00","$704.65","",""
"Lenoir Memorial Hospital","N BLOCK CENT INFUS B PLEXIS","64416","$256.00","$175.21","$256.00","$227.84","$238.08","$175.21","$153.60","$221.95","$227.84","$230.40","$256.00","$217.60","",""
"Lenoir Memorial Hospital","N BLOCK; INTERCOSTAL (SINGLE)","64420","$511.00","$349.73","$511.00","$454.79","$475.23","$349.73","$306.60","$443.04","$454.79","$459.90","$511.00","$434.35","",""
"Lenoir Memorial Hospital","N BLOCK; INTERCOSTAL (MULTI)","64421","$514.00","$351.78","$514.00","$457.46","$478.02","$351.78","$308.40","$445.64","$457.46","$462.60","$514.00","$436.90","",""
"Lenoir Memorial Hospital","INJ; EPIDURAL PAIN CONTROL LUM","62322","$631.00","$431.86","$631.00","$561.59","$586.83","$431.86","$378.60","$547.08","$561.59","$567.90","$631.00","$536.35","",""
"Lenoir Memorial Hospital","EPID INJ; BLOOD/CLOT PATCH","62273","$468.00","$320.30","$468.00","$416.52","$435.24","$320.30","$280.80","$405.76","$416.52","$421.20","$468.00","$397.80","",""
"Lenoir Memorial Hospital","ULS GUIDANCE FOR PLACEMENT","76942","$892.00","$684.16","$892.00","$793.88","$829.56","$684.16","$535.20","$773.36","$793.88","$802.80","$892.00","$758.20","",""
"Lenoir Memorial Hospital","ANES UPP GI ENDOSCOPE","731","$10.00","$6.84","$10.00","$8.90","$9.30","$6.84","$6.00","$8.67","$8.90","$9.00","$10.00","$8.50","",""
"Lenoir Memorial Hospital","ANES LOW INTESTINAL ENDOSCOPIC","811","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES  LOW INTES SCR COLONOSCOP","812","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES UPR LWR GI ENDOSCOPY","813","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES UPP GI ERCP","732","$10.00","$6.84","$10.00","$8.90","$9.30","$6.84","$6.00","$8.67","$8.90","$9.00","$10.00","$8.50","",""
"Lenoir Memorial Hospital","BIL TRANS ABD PLANE (TAP) BLOC","64488","$1,500.00","$1,058.40","$1,500.00","$1,335.00","$1,395.00","$1,058.40","$900.00","$1,300.50","$1,335.00","$1,350.00","$1,500.00","$1,275.00","",""
"Lenoir Memorial Hospital","UNILA TRANS ABD PLANE (TAP) BL","64486","$1,500.00","$1,058.40","$1,500.00","$1,335.00","$1,395.00","$1,058.40","$900.00","$1,300.50","$1,335.00","$1,350.00","$1,500.00","$1,275.00","",""
"Lenoir Memorial Hospital","ERECTOR SPINAL PLANE (ESP) BLO","64999","$1,300.00","$917.28","$1,300.00","$1,157.00","$1,209.00","$917.28","$780.00","$1,127.10","$1,157.00","$1,170.00","$1,300.00","$1,105.00","",""
"Lenoir Memorial Hospital","BRACHIAL PLEXUS BLOCK SINGLE","64415","$1,300.00","$917.28","$1,300.00","$1,157.00","$1,209.00","$917.28","$780.00","$1,127.10","$1,157.00","$1,170.00","$1,300.00","$1,105.00","",""
"Lenoir Memorial Hospital","PECS 2 BLOCK","64420","$1,300.00","$917.28","$1,300.00","$1,157.00","$1,209.00","$917.28","$780.00","$1,127.10","$1,157.00","$1,170.00","$1,300.00","$1,105.00","",""
"Lenoir Memorial Hospital","FASCIA ILIACA COMPARTMENT BLOC","64447","$1,625.00","$1,146.60","$1,625.00","$1,446.25","$1,511.25","$1,146.60","$975.00","$1,408.88","$1,446.25","$1,462.50","$1,625.00","$1,381.25","",""
"Lenoir Memorial Hospital","BIL INJ; OTH PERI NRV/BRANCH","64450","$1,500.00","$1,026.60","$1,500.00","$1,335.00","$1,395.00","$1,026.60","$900.00","$1,300.50","$1,335.00","$1,350.00","$1,500.00","$1,275.00","",""
"Lenoir Memorial Hospital","L INJ; OTH PERI NRV/BRANCH","64450","$1,200.00","$821.28","$1,200.00","$1,068.00","$1,116.00","$821.28","$720.00","$1,040.40","$1,068.00","$1,080.00","$1,200.00","$1,020.00","",""
"Lenoir Memorial Hospital","R INJ; OTH PERI NRV/BRANCH","64450","$1,200.00","$821.28","$1,200.00","$1,068.00","$1,116.00","$821.28","$720.00","$1,040.40","$1,068.00","$1,080.00","$1,200.00","$1,020.00","",""
"Lenoir Memorial Hospital","OPS - ANESTHESIA GENERAL","","$1,901.00","$1,301.04","$1,901.00","$1,691.89","$1,767.93","$1,301.04","$1,140.60","$1,648.17","$1,691.89","$1,710.90","$1,901.00","$1,615.85","",""
"Lenoir Memorial Hospital","IV PUSH INJECTION - INITIAL","96374","$279.00","$218.09","$279.00","$248.31","$259.47","$218.09","$167.40","$241.89","$248.31","$251.10","$279.00","$237.15","",""
"Lenoir Memorial Hospital","BLADDER IRRIG CA TX","51720","$441.00","$344.73","$441.00","$392.49","$410.13","$344.73","$264.60","$382.35","$392.49","$396.90","$441.00","$374.85","",""
"Lenoir Memorial Hospital","ESTAB PT OP VISIT LEV 1","99211","$116.00","$90.68","$116.00","$103.24","$107.88","$90.68","$69.60","$100.57","$103.24","$104.40","$116.00","$98.60","",""
"Lenoir Memorial Hospital","ESTAB PT OP VISIT LEV 2","99212","$145.00","$113.35","$145.00","$129.05","$134.85","$113.35","$87.00","$125.72","$129.05","$130.50","$145.00","$123.25","",""
