Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna HMO,Aetna Medicare Advantage,BCBS,Blue Home,Blue Home UNC Health Alliance,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Carolina Care,Galaxy,Health Payors,Humana,Humana Alignment Medicare Advanatge,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,MedCost Ultra,OneNet,TriCare,United Healthcare,United Healthcare Compass,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Rex Hospital","HC POST PROCEDURE RECVR CARE 61-90","","$1,620.00","$437.56","$1,620.00","$1,182.60","$1,182.60","$0.00","$902.83","$646.06","$437.56","$972.00","$0.00","$701.46","$701.46","$972.00","$1,539.00","$1,377.00","$939.60","$0.00","$0.00","$0.00","$1,004.40","$842.40","$955.80","$0.00","$1,349.46","$1,620.00","$0.00","$0.00"
"Rex Hospital","HC POST PROCEDURE RECVR CARE 91-120","","$1,985.00","$536.15","$1,985.00","$1,449.05","$1,449.05","$0.00","$1,106.24","$791.62","$536.15","$1,191.00","$0.00","$859.51","$859.51","$1,191.00","$1,885.75","$1,687.25","$1,151.30","$0.00","$0.00","$0.00","$1,230.70","$1,032.20","$1,171.15","$0.00","$1,653.51","$1,985.00","$0.00","$0.00"
"Rex Hospital","HC POST PROCEDURE RECVR CARE 121-15","","$2,349.00","$634.46","$2,349.00","$1,714.77","$1,714.77","$0.00","$1,309.10","$936.78","$634.46","$1,409.40","$0.00","$1,017.12","$1,017.12","$1,409.40","$2,231.55","$1,996.65","$1,362.42","$0.00","$0.00","$0.00","$1,456.38","$1,221.48","$1,385.91","$0.00","$1,956.72","$2,349.00","$0.00","$0.00"
"Rex Hospital","HC POST PROCEDURE RECVR CARE 151-18","","$2,713.00","$732.78","$2,713.00","$1,980.49","$1,980.49","$0.00","$1,511.95","$1,081.94","$732.78","$1,627.80","$0.00","$1,174.73","$1,174.73","$1,627.80","$2,577.35","$2,306.05","$1,573.54","$0.00","$0.00","$0.00","$1,682.06","$1,410.76","$1,600.67","$0.00","$2,259.93","$2,713.00","$0.00","$0.00"
"Rex Hospital","HC POST PROCEDURE RECVR CARE 181-21","","$3,078.00","$831.37","$3,078.00","$2,246.94","$2,246.94","$0.00","$1,715.37","$1,227.51","$831.37","$1,846.80","$0.00","$1,332.77","$1,332.77","$1,846.80","$2,924.10","$2,616.30","$1,785.24","$0.00","$0.00","$0.00","$1,908.36","$1,600.56","$1,816.02","$0.00","$2,563.97","$3,078.00","$0.00","$0.00"
"Rex Hospital","HC POST PROCEDURE RECVR CARE >210","","$3,442.00","$929.68","$3,442.00","$2,512.66","$2,512.66","$0.00","$1,918.23","$1,372.67","$929.68","$2,065.20","$0.00","$1,490.39","$1,490.39","$2,065.20","$3,269.90","$2,925.70","$1,996.36","$0.00","$0.00","$0.00","$2,134.04","$1,789.84","$2,030.78","$0.00","$2,867.19","$3,442.00","$0.00","$0.00"
"Rex Hospital","HC POST PROCEDURE CARE-NO SEDATION","","$503.00","$135.86","$503.00","$367.19","$367.19","$0.00","$280.32","$200.60","$135.86","$301.80","$0.00","$217.80","$217.80","$301.80","$477.85","$427.55","$291.74","$0.00","$0.00","$0.00","$311.86","$261.56","$296.77","$0.00","$419.00","$503.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 240-300 MINS","","$2,498.00","$674.71","$2,498.00","$1,823.54","$1,823.54","$0.00","$1,392.14","$996.20","$674.71","$1,498.80","$0.00","$1,081.63","$1,081.63","$1,498.80","$2,373.10","$2,123.30","$1,448.84","$0.00","$0.00","$0.00","$1,548.76","$1,298.96","$1,473.82","$0.00","$2,080.83","$2,498.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG OVER 300 MIN","","$3,291.00","$888.90","$3,291.00","$2,402.43","$2,402.43","$0.00","$1,834.07","$1,312.45","$888.90","$1,974.60","$0.00","$1,425.00","$1,425.00","$1,974.60","$3,126.45","$2,797.35","$1,908.78","$0.00","$0.00","$0.00","$2,040.42","$1,711.32","$1,941.69","$0.00","$2,741.40","$3,291.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 0-30 MINS","","$985.00","$266.05","$985.00","$719.05","$719.05","$0.00","$548.94","$392.82","$266.05","$591.00","$0.00","$426.51","$426.51","$591.00","$935.75","$837.25","$571.30","$0.00","$0.00","$0.00","$610.70","$512.20","$581.15","$0.00","$820.51","$985.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 31-60 MINS","","$1,342.00","$362.47","$1,342.00","$979.66","$979.66","$0.00","$747.90","$535.19","$362.47","$805.20","$0.00","$581.09","$581.09","$805.20","$1,274.90","$1,140.70","$778.36","$0.00","$0.00","$0.00","$832.04","$697.84","$791.78","$0.00","$1,117.89","$1,342.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 61-90 MINS","","$1,497.00","$404.34","$1,497.00","$1,092.81","$1,092.81","$0.00","$834.28","$597.00","$404.34","$898.20","$0.00","$648.20","$648.20","$898.20","$1,422.15","$1,272.45","$868.26","$0.00","$0.00","$0.00","$928.14","$778.44","$883.23","$0.00","$1,247.00","$1,497.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCH 91-120 MINS","","$1,658.00","$447.83","$1,658.00","$1,210.34","$1,210.34","$0.00","$924.00","$661.21","$447.83","$994.80","$0.00","$717.91","$717.91","$994.80","$1,575.10","$1,409.30","$961.64","$0.00","$0.00","$0.00","$1,027.96","$862.16","$978.22","$0.00","$1,381.11","$1,658.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 121-150 MINS","","$1,817.00","$490.77","$1,817.00","$1,326.41","$1,326.41","$0.00","$1,012.61","$724.62","$490.77","$1,090.20","$0.00","$786.76","$786.76","$1,090.20","$1,726.15","$1,544.45","$1,053.86","$0.00","$0.00","$0.00","$1,126.54","$944.84","$1,072.03","$0.00","$1,513.56","$1,817.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 151-180 MINS","","$1,977.00","$533.99","$1,977.00","$1,443.21","$1,443.21","$0.00","$1,101.78","$788.43","$533.99","$1,186.20","$0.00","$856.04","$856.04","$1,186.20","$1,878.15","$1,680.45","$1,146.66","$0.00","$0.00","$0.00","$1,225.74","$1,028.04","$1,166.43","$0.00","$1,646.84","$1,977.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 1 RECOV/DSCHG 181-240 MINS","","$2,137.00","$577.20","$2,137.00","$1,560.01","$1,560.01","$0.00","$1,190.95","$852.24","$577.20","$1,282.20","$0.00","$925.32","$925.32","$1,282.20","$2,030.15","$1,816.45","$1,239.46","$0.00","$0.00","$0.00","$1,324.94","$1,111.24","$1,260.83","$0.00","$1,780.12","$2,137.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 2 POST RECOVERY CARE 1ST HR","","$1,256.00","$339.25","$1,256.00","$916.88","$916.88","$0.00","$699.97","$500.89","$339.25","$753.60","$0.00","$543.85","$543.85","$753.60","$1,193.20","$1,067.60","$728.48","$0.00","$0.00","$0.00","$778.72","$653.12","$741.04","$0.00","$1,046.25","$1,256.00","$0.00","$0.00"
"Rex Hospital","HC LEVEL 2 POST RECOVERY EACH ADD HR","","$729.00","$196.90","$729.00","$532.17","$532.17","$0.00","$406.27","$290.73","$196.90","$437.40","$0.00","$315.66","$315.66","$437.40","$692.55","$619.65","$422.82","$0.00","$0.00","$0.00","$451.98","$379.08","$430.11","$0.00","$607.26","$729.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 121-150 MINS","","$1,817.00","$490.77","$1,817.00","$1,326.41","$1,326.41","$0.00","$1,012.61","$724.62","$490.77","$1,090.20","$0.00","$786.76","$786.76","$1,090.20","$1,726.15","$1,544.45","$1,053.86","$0.00","$0.00","$0.00","$1,126.54","$944.84","$1,072.03","$0.00","$1,513.56","$1,817.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 0-30 MINS","","$985.00","$266.05","$985.00","$719.05","$719.05","$0.00","$548.94","$392.82","$266.05","$591.00","$0.00","$426.51","$426.51","$591.00","$935.75","$837.25","$571.30","$0.00","$0.00","$0.00","$610.70","$512.20","$581.15","$0.00","$820.51","$985.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 31-60 MINS","","$1,342.00","$362.47","$1,342.00","$979.66","$979.66","$0.00","$747.90","$535.19","$362.47","$805.20","$0.00","$581.09","$581.09","$805.20","$1,274.90","$1,140.70","$778.36","$0.00","$0.00","$0.00","$832.04","$697.84","$791.78","$0.00","$1,117.89","$1,342.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 61-90 MINS","","$1,497.00","$404.34","$1,497.00","$1,092.81","$1,092.81","$0.00","$834.28","$597.00","$404.34","$898.20","$0.00","$648.20","$648.20","$898.20","$1,422.15","$1,272.45","$868.26","$0.00","$0.00","$0.00","$928.14","$778.44","$883.23","$0.00","$1,247.00","$1,497.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 91-120 MINS","","$1,658.00","$447.83","$1,658.00","$1,210.34","$1,210.34","$0.00","$924.00","$661.21","$447.83","$994.80","$0.00","$717.91","$717.91","$994.80","$1,575.10","$1,409.30","$961.64","$0.00","$0.00","$0.00","$1,027.96","$862.16","$978.22","$0.00","$1,381.11","$1,658.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 151-180 MINS","","$1,977.00","$533.99","$1,977.00","$1,443.21","$1,443.21","$0.00","$1,101.78","$788.43","$533.99","$1,186.20","$0.00","$856.04","$856.04","$1,186.20","$1,878.15","$1,680.45","$1,146.66","$0.00","$0.00","$0.00","$1,225.74","$1,028.04","$1,166.43","$0.00","$1,646.84","$1,977.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 181-240 MINS","","$2,137.00","$577.20","$2,137.00","$1,560.01","$1,560.01","$0.00","$1,190.95","$852.24","$577.20","$1,282.20","$0.00","$925.32","$925.32","$1,282.20","$2,030.15","$1,816.45","$1,239.46","$0.00","$0.00","$0.00","$1,324.94","$1,111.24","$1,260.83","$0.00","$1,780.12","$2,137.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV 240-300 MINS","","$2,498.00","$674.71","$2,498.00","$1,823.54","$1,823.54","$0.00","$1,392.14","$996.20","$674.71","$1,498.80","$0.00","$1,081.63","$1,081.63","$1,498.80","$2,373.10","$2,123.30","$1,448.84","$0.00","$0.00","$0.00","$1,548.76","$1,298.96","$1,473.82","$0.00","$2,080.83","$2,498.00","$0.00","$0.00"
"Rex Hospital","HC PACU LEVEL 1 RECOV OVER 300 MINS","","$3,291.00","$888.90","$3,291.00","$2,402.43","$2,402.43","$0.00","$1,834.07","$1,312.45","$888.90","$1,974.60","$0.00","$1,425.00","$1,425.00","$1,974.60","$3,126.45","$2,797.35","$1,908.78","$0.00","$0.00","$0.00","$2,040.42","$1,711.32","$1,941.69","$0.00","$2,741.40","$3,291.00","$0.00","$0.00"
"Rex Hospital","HC PACU INJECTION ADMIN SQ/IM","96372","$55.00","$14.00","$59.00","$40.15","$40.15","$37.93","$28.89","$20.68","$14.00","$33.00","$35.42","$23.82","$23.82","$33.00","$52.25","$46.75","$31.90","$37.18","$39.04","$39.04","$34.10","$28.60","$32.45","$59.00","$45.82","$55.00","$37.37","$37.93"
"Rex Hospital","HC ESOPHAGEAL MOTILITY MANOMETRY","91010","$629.00","$163.79","$629.00","$629.00","$629.00","$468.46","$338.09","$241.91","$163.79","$377.40","$405.08","$272.36","$272.99","$377.40","$597.55","$534.65","$364.82","$477.31","$501.17","$501.17","$389.98","$327.08","$371.11","$477.31","$226.00","$629.00","$476.15","$486.85"
"Rex Hospital","HC ESOPHAGEAL PH STUDY","91034","$758.00","$197.38","$758.00","$553.34","$553.34","$483.26","$407.43","$291.53","$197.38","$454.80","$488.15","$328.21","$328.97","$454.80","$720.10","$644.30","$439.64","$473.78","$497.47","$497.47","$469.96","$394.16","$447.22","$473.78","$226.00","$758.00","$476.15","$483.26"
"Rex Hospital","HC 48 HR PH MONITORING & INSERT CAP","91035","$1,098.00","$226.00","$1,098.00","$801.54","$801.54","$479.96","$590.18","$422.29","$285.92","$658.80","$707.11","$475.43","$476.53","$658.80","$1,043.10","$933.30","$636.84","$470.55","$494.07","$494.07","$680.76","$570.96","$647.82","$470.55","$226.00","$1,098.00","$476.15","$479.96"
"Rex Hospital","HC ESOPHAGEAL FUNCTION TEST W IMPEDANCE ELECTRODE PLACEMENT","91037","$569.00","$148.17","$569.00","$415.37","$415.37","$251.87","$305.84","$218.84","$148.17","$341.40","$366.44","$246.38","$246.95","$341.40","$540.55","$483.65","$330.02","$246.93","$259.28","$259.28","$352.78","$295.88","$335.71","$246.93","$226.00","$569.00","$248.17","$251.87"
"Rex Hospital","HC BREATH HYDROGEN TEST","91065","$173.00","$45.05","$173.00","$126.29","$126.29","$138.70","$92.99","$66.54","$45.05","$103.80","$111.41","$74.91","$75.08","$103.80","$164.35","$147.05","$100.34","$135.98","$142.78","$142.78","$107.26","$89.96","$102.07","$135.98","$173.00","$173.00","$135.65","$138.70"
"Rex Hospital","HC GI TRACK IMAGING CAPSULE STUDY","91110","$1,608.00","$418.72","$1,608.00","$1,173.84","$1,173.84","$776.77","$864.30","$618.44","$418.72","$964.80","$1,035.55","$696.26","$697.87","$964.80","$1,527.60","$1,366.80","$932.64","$728.96","$811.10","$765.40","$996.96","$836.16","$948.72","$728.96","$1,608.00","$1,608.00","$770.61","$743.54"
"Rex Hospital","HC ESOPHAGEAL CAPSULE ENDOSCOPY","91111","$2,249.00","$585.64","$2,249.00","$0.00","$0.00","$0.00","$1,208.84","$864.97","$585.64","$1,349.40","$0.00","$973.82","$0.00","$0.00","$2,136.55","$1,911.65","$1,304.42","$0.00","$0.00","$0.00","$1,394.38","$1,169.48","$1,326.91","$0.00","$0.00","$2,249.00","$0.00","$0.00"
"Rex Hospital","HC ANORECTAL MANOMETRY","91122","$689.00","$179.42","$689.00","$502.97","$502.97","$233.76","$370.34","$264.99","$179.42","$413.40","$443.72","$298.34","$299.03","$413.40","$654.55","$585.65","$399.62","$229.18","$240.64","$240.64","$427.18","$358.28","$406.51","$229.18","$226.00","$689.00","$230.32","$233.76"
"Rex Hospital","HC GI PATENCY CAPSULE STUDY","91112","$2,705.00","$704.38","$2,705.00","$1,974.65","$1,974.65","$787.93","$1,453.94","$1,040.34","$704.38","$1,623.00","$1,742.02","$1,171.27","$1,173.97","$1,623.00","$2,569.75","$2,299.25","$1,568.90","$772.48","$811.10","$811.10","$1,677.10","$1,406.60","$1,595.95","$772.48","$2,668.00","$2,705.00","$770.61","$787.93"
"Rex Hospital","HC EGD/COLONOSCOPY","","$4,370.00","$1,137.95","$4,370.00","$3,190.10","$3,190.10","$0.00","$2,348.88","$1,680.70","$1,137.95","$2,622.00","$0.00","$1,892.21","$0.00","$2,622.00","$4,151.50","$3,714.50","$2,534.60","$0.00","$0.00","$0.00","$2,709.40","$2,272.40","$2,578.30","$0.00","$3,640.21","$4,370.00","$0.00","$0.00"
"Rex Hospital","HC ENDO ADDITIONAL TIME 1-15 MIN","","$252.00","$65.62","$252.00","$183.96","$183.96","$0.00","$135.45","$96.92","$65.62","$151.20","$0.00","$109.12","$0.00","$151.20","$239.40","$214.20","$146.16","$0.00","$0.00","$0.00","$156.24","$131.04","$148.68","$0.00","$209.92","$252.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 0-15","","$1,201.00","$312.74","$1,201.00","$876.73","$876.73","$0.00","$645.54","$461.90","$312.74","$720.60","$0.00","$520.03","$0.00","$720.60","$1,140.95","$1,020.85","$696.58","$0.00","$0.00","$0.00","$744.62","$624.52","$708.59","$0.00","$1,000.43","$1,201.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 16-30","","$1,361.00","$354.40","$1,361.00","$993.53","$993.53","$0.00","$731.54","$523.44","$354.40","$816.60","$0.00","$589.31","$0.00","$816.60","$1,292.95","$1,156.85","$789.38","$0.00","$0.00","$0.00","$843.82","$707.72","$802.99","$0.00","$1,133.71","$1,361.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 31-45","","$1,522.00","$396.33","$1,522.00","$1,111.06","$1,111.06","$0.00","$818.08","$585.36","$396.33","$913.20","$0.00","$659.03","$0.00","$913.20","$1,445.90","$1,293.70","$882.76","$0.00","$0.00","$0.00","$943.64","$791.44","$897.98","$0.00","$1,267.83","$1,522.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 46-60","","$1,684.00","$438.51","$1,684.00","$1,229.32","$1,229.32","$0.00","$905.15","$647.67","$438.51","$1,010.40","$0.00","$729.17","$0.00","$1,010.40","$1,599.80","$1,431.40","$976.72","$0.00","$0.00","$0.00","$1,044.08","$875.68","$993.56","$0.00","$1,402.77","$1,684.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 61-75","","$1,846.00","$480.70","$1,846.00","$1,347.58","$1,347.58","$0.00","$992.23","$709.97","$480.70","$1,107.60","$0.00","$799.32","$0.00","$1,107.60","$1,753.70","$1,569.10","$1,070.68","$0.00","$0.00","$0.00","$1,144.52","$959.92","$1,089.14","$0.00","$1,537.72","$1,846.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 76-90","","$2,008.00","$522.88","$2,008.00","$1,465.84","$1,465.84","$0.00","$1,079.30","$772.28","$522.88","$1,204.80","$0.00","$869.46","$0.00","$1,204.80","$1,907.60","$1,706.80","$1,164.64","$0.00","$0.00","$0.00","$1,244.96","$1,044.16","$1,184.72","$0.00","$1,672.66","$2,008.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 91-105","","$2,169.00","$564.81","$2,169.00","$1,583.37","$1,583.37","$0.00","$1,165.84","$834.20","$564.81","$1,301.40","$0.00","$939.18","$0.00","$1,301.40","$2,060.55","$1,843.65","$1,258.02","$0.00","$0.00","$0.00","$1,344.78","$1,127.88","$1,279.71","$0.00","$1,806.78","$2,169.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 106-120","","$2,329.00","$606.47","$2,329.00","$1,700.17","$1,700.17","$0.00","$1,251.84","$895.73","$606.47","$1,397.40","$0.00","$1,008.46","$0.00","$1,397.40","$2,212.55","$1,979.65","$1,350.82","$0.00","$0.00","$0.00","$1,443.98","$1,211.08","$1,374.11","$0.00","$1,940.06","$2,329.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 121-135","","$2,490.00","$648.40","$2,490.00","$1,817.70","$1,817.70","$0.00","$1,338.38","$957.65","$648.40","$1,494.00","$0.00","$1,078.17","$0.00","$1,494.00","$2,365.50","$2,116.50","$1,444.20","$0.00","$0.00","$0.00","$1,543.80","$1,294.80","$1,469.10","$0.00","$2,074.17","$2,490.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 136-150","","$2,652.00","$690.58","$2,652.00","$1,935.96","$1,935.96","$0.00","$1,425.45","$1,019.96","$690.58","$1,591.20","$0.00","$1,148.32","$0.00","$1,591.20","$2,519.40","$2,254.20","$1,538.16","$0.00","$0.00","$0.00","$1,644.24","$1,379.04","$1,564.68","$0.00","$2,209.12","$2,652.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 151-165","","$2,813.00","$732.51","$2,813.00","$2,053.49","$2,053.49","$0.00","$1,511.99","$1,081.88","$732.51","$1,687.80","$0.00","$1,218.03","$0.00","$1,687.80","$2,672.35","$2,391.05","$1,631.54","$0.00","$0.00","$0.00","$1,744.06","$1,462.76","$1,659.67","$0.00","$2,343.23","$2,813.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 166-180","","$3,023.00","$787.19","$3,023.00","$2,206.79","$2,206.79","$0.00","$1,624.86","$1,162.65","$787.19","$1,813.80","$0.00","$1,308.96","$0.00","$1,813.80","$2,871.85","$2,569.55","$1,753.34","$0.00","$0.00","$0.00","$1,874.26","$1,571.96","$1,783.57","$0.00","$2,518.16","$3,023.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 181-196","","$3,186.00","$829.63","$3,186.00","$2,325.78","$2,325.78","$0.00","$1,712.48","$1,225.34","$829.63","$1,911.60","$0.00","$1,379.54","$0.00","$1,911.60","$3,026.70","$2,708.10","$1,847.88","$0.00","$0.00","$0.00","$1,975.32","$1,656.72","$1,879.74","$0.00","$2,653.94","$3,186.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 196-210","","$3,801.00","$989.78","$3,801.00","$2,774.73","$2,774.73","$0.00","$2,043.04","$1,461.86","$989.78","$2,280.60","$0.00","$1,645.83","$0.00","$2,280.60","$3,610.95","$3,230.85","$2,204.58","$0.00","$0.00","$0.00","$2,356.62","$1,976.52","$2,242.59","$0.00","$3,166.23","$3,801.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 211-225","","$4,050.00","$1,054.62","$4,050.00","$2,956.50","$2,956.50","$0.00","$2,176.88","$1,557.63","$1,054.62","$2,430.00","$0.00","$1,753.65","$0.00","$2,430.00","$3,847.50","$3,442.50","$2,349.00","$0.00","$0.00","$0.00","$2,511.00","$2,106.00","$2,389.50","$0.00","$3,373.65","$4,050.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 226-240","","$4,238.00","$1,103.58","$4,238.00","$3,093.74","$3,093.74","$0.00","$2,277.93","$1,629.93","$1,103.58","$2,542.80","$0.00","$1,835.05","$0.00","$2,542.80","$4,026.10","$3,602.30","$2,458.04","$0.00","$0.00","$0.00","$2,627.56","$2,203.76","$2,500.42","$0.00","$3,530.25","$4,238.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 241-255","","$4,399.00","$1,145.50","$4,399.00","$3,211.27","$3,211.27","$0.00","$2,364.46","$1,691.86","$1,145.50","$2,639.40","$0.00","$1,904.77","$0.00","$2,639.40","$4,179.05","$3,739.15","$2,551.42","$0.00","$0.00","$0.00","$2,727.38","$2,287.48","$2,595.41","$0.00","$3,664.37","$4,399.00","$0.00","$0.00"
"Rex Hospital","HC ENDO PROCEDURE TIME 256-270","","$4,560.00","$1,187.42","$4,560.00","$3,328.80","$3,328.80","$0.00","$2,451.00","$1,753.78","$1,187.42","$2,736.00","$0.00","$1,974.48","$0.00","$2,736.00","$4,332.00","$3,876.00","$2,644.80","$0.00","$0.00","$0.00","$2,827.20","$2,371.20","$2,690.40","$0.00","$3,798.48","$4,560.00","$0.00","$0.00"
"Rex Hospital","HC ESOPH IMPED MAN W/IMPED PH MON","91037","$603.00","$157.02","$603.00","$440.19","$440.19","$251.87","$324.11","$231.91","$157.02","$361.80","$388.33","$261.10","$261.70","$361.80","$572.85","$512.55","$349.74","$246.93","$259.28","$259.28","$373.86","$313.56","$355.77","$246.93","$226.00","$603.00","$248.17","$251.87"
"Rex Hospital","HC IMPEDANCE PH MONITORING","91038","$569.00","$148.17","$569.00","$415.37","$415.37","$486.85","$305.84","$218.84","$148.17","$341.40","$366.44","$246.38","$246.95","$341.40","$540.55","$483.65","$330.02","$477.31","$501.17","$501.17","$352.78","$295.88","$335.71","$477.31","$226.00","$569.00","$476.15","$486.85"
"Rex Hospital","HC ESOPHAG MANO W/IMPED PH MONITORN","91010","$1,094.00","$226.00","$1,094.00","$1,094.00","$1,094.00","$468.46","$588.03","$420.75","$284.88","$656.40","$704.54","$473.70","$474.80","$656.40","$1,039.30","$929.90","$634.52","$477.31","$501.17","$501.17","$678.28","$568.88","$645.46","$477.31","$226.00","$1,094.00","$476.15","$486.85"
"Rex Hospital","HC PROC CHG-OPEN APPL GASTRIC BAND","","$3,868.00","$1,113.21","$3,868.00","$2,823.64","$2,823.64","$0.00","$2,297.59","$1,643.90","$1,113.21","$2,320.80","$0.00","$1,674.84","$0.00","$2,320.80","$3,674.60","$3,287.80","$2,243.44","$0.00","$0.00","$0.00","$2,398.16","$2,011.36","$2,282.12","$0.00","$3,222.04","$3,868.00","$0.00","$0.00"
"Rex Hospital","HC PROC CHG-LAP BILIOPANC DIV W/EGD","","$3,868.00","$1,113.21","$3,868.00","$2,823.64","$2,823.64","$0.00","$2,297.59","$1,643.90","$1,113.21","$2,320.80","$0.00","$1,674.84","$0.00","$2,320.80","$3,674.60","$3,287.80","$2,243.44","$0.00","$0.00","$0.00","$2,398.16","$2,011.36","$2,282.12","$0.00","$3,222.04","$3,868.00","$0.00","$0.00"
"Rex Hospital","HC PROC CHG-LAP RX-EN-Y GAS BYPASS","","$3,868.00","$1,113.21","$3,868.00","$2,823.64","$2,823.64","$0.00","$2,297.59","$1,643.90","$1,113.21","$2,320.80","$0.00","$1,674.84","$0.00","$2,320.80","$3,674.60","$3,287.80","$2,243.44","$0.00","$0.00","$0.00","$2,398.16","$2,011.36","$2,282.12","$0.00","$3,222.04","$3,868.00","$0.00","$0.00"
"Rex Hospital","HC NAVIGATIONAL BRONCHOSOPY","","$4,523.00","$1,177.79","$4,523.00","$3,301.79","$3,301.79","$0.00","$2,431.11","$1,739.55","$1,177.79","$2,713.80","$0.00","$1,958.46","$0.00","$2,713.80","$4,296.85","$3,844.55","$2,623.34","$0.00","$0.00","$0.00","$2,804.26","$2,351.96","$2,668.57","$0.00","$3,767.66","$4,523.00","$0.00","$0.00"
"Rex Hospital","HC HEMORRHOIDECTOMY W/2 OR MORE COLUMNS/GROUPS W/O IMG GUIDANCE","","$3,650.00","$950.46","$3,650.00","$2,664.50","$2,664.50","$0.00","$1,961.88","$1,403.79","$950.46","$2,190.00","$0.00","$1,580.45","$0.00","$2,190.00","$3,467.50","$3,102.50","$2,117.00","$0.00","$0.00","$0.00","$2,263.00","$1,898.00","$2,153.50","$0.00","$3,040.45","$3,650.00","$0.00","$0.00"
"Rex Hospital","HC PREP OF FECAL MICROBIOTA FOR INSTILLATION","","$2,313.00","$602.31","$2,313.00","$1,688.49","$1,688.49","$0.00","$1,243.24","$889.58","$602.31","$1,387.80","$0.00","$1,001.53","$0.00","$1,387.80","$2,197.35","$1,966.05","$1,341.54","$0.00","$0.00","$0.00","$1,434.06","$1,202.76","$1,364.67","$0.00","$1,926.73","$2,313.00","$0.00","$0.00"
"Rex Hospital","HC PROCTOSIGMOIDOSCOPY W/ BIOPSY","","$2,500.00","$651.00","$2,500.00","$1,825.00","$1,825.00","$0.00","$1,343.75","$961.50","$651.00","$1,500.00","$0.00","$1,082.50","$0.00","$1,500.00","$2,375.00","$2,125.00","$1,450.00","$0.00","$0.00","$0.00","$1,550.00","$1,300.00","$1,475.00","$0.00","$2,082.50","$2,500.00","$0.00","$0.00"
"Rex Hospital","HC EGD/FLEX SIGMOIDOSCOPY","","$2,775.00","$722.61","$2,775.00","$2,025.75","$2,025.75","$0.00","$1,491.56","$1,067.27","$722.61","$1,665.00","$0.00","$1,201.58","$0.00","$1,665.00","$2,636.25","$2,358.75","$1,609.50","$0.00","$0.00","$0.00","$1,720.50","$1,443.00","$1,637.25","$0.00","$2,311.58","$2,775.00","$0.00","$0.00"
"Rex Hospital","HC POUCH ENTEROSCOPY WITH BIOPSY","","$2,959.00","$770.52","$2,959.00","$2,160.07","$2,160.07","$0.00","$1,590.46","$1,138.03","$770.52","$1,775.40","$0.00","$1,281.25","$0.00","$1,775.40","$2,811.05","$2,515.15","$1,716.22","$0.00","$0.00","$0.00","$1,834.58","$1,538.68","$1,745.81","$0.00","$2,464.85","$2,959.00","$0.00","$0.00"
